yc0,P0,ycf,Pf,rhoco,rhome
0.2,5,,,,
0.2,10,,,,
0.2,15,,,,
0.2,20,,,,
0.2,25,,,,
0.2,30,,,,
0.2,35,,,,
0.2,40,,,,
0.2,45,,,,
0.2,50,,,,
0.2,55,,,,
0.2,60,,,,
0.2,65,,,,
0.2,70,,,,
0.2,75,,,,
0.2,80,,,,
0.2,85,,,,
0.2,90,,,,
0.2,95,,,,
0.2,100,,,,
0.2,105,,,,
0.2,110,,,,
0.2,115,,,,
0.2,120,,,,
0.2,125,,,,
0.2,130,,,,
0.2,135,,,,
0.2,140,,,,
0.2,145,,,,
0.2,150,,,,
0.2,155,,,,
0.2,160,,,,
0.2,165,,,,
0.2,170,,,,
0.2,175,,,,
0.2,180,,,,
0.2,185,,,,
0.2,190,,,,
0.2,195,,,,
0.2,200,,,,
0.2,5,,,,
0.2,10,,,,
0.2,15,,,,
0.2,20,,,,
0.2,25,,,,
0.2,30,,,,
0.2,35,,,,
0.2,40,,,,
0.2,45,,,,
0.2,50,,,,
0.2,55,,,,
0.2,60,,,,
0.2,65,,,,
0.2,70,,,,
0.2,75,,,,
0.2,80,,,,
0.2,85,,,,
0.2,90,,,,
0.2,95,,,,
0.2,100,,,,
0.2,105,,,,
0.2,110,,,,
0.2,115,,,,
0.2,120,,,,
0.2,125,,,,
0.2,130,,,,
0.2,135,,,,
0.2,140,,,,
0.2,145,,,,
0.2,150,,,,
0.2,155,,,,
0.2,160,,,,
0.2,165,,,,
0.2,170,,,,
0.2,175,,,,
0.2,180,,,,
0.2,185,,,,
0.2,190,,,,
0.2,195,,,,
0.2,200,,,,
0.2,5,,,,
0.2,10,,,,
0.2,15,,,,
0.2,20,,,,
0.2,25,,,,
0.2,30,,,,
0.2,35,,,,
0.2,40,,,,
0.2,45,,,,
0.2,50,,,,
0.2,55,,,,
0.2,60,,,,
0.2,65,,,,
0.2,70,,,,
0.2,75,,,,
0.2,80,,,,
0.2,85,,,,
0.2,90,,,,
0.2,95,,,,
0.2,100,,,,
0.2,105,,,,
0.2,110,,,,
0.2,115,,,,
0.2,120,,,,
0.2,125,,,,
0.2,130,,,,
0.2,135,,,,
0.2,140,,,,
0.2,145,,,,
0.2,150,,,,
0.2,155,,,,
0.2,160,,,,
0.2,165,,,,
0.2,170,,,,
0.2,175,,,,
0.2,180,,,,
0.2,185,,,,
0.2,190,,,,
0.2,195,,,,
0.2,200,,,,
0.2,5,,,,
0.2,10,,,,
0.2,15,,,,
0.2,20,,,,
0.2,25,,,,
0.2,30,,,,
0.2,35,,,,
0.2,40,,,,
0.2,45,,,,
0.2,50,,,,
0.2,55,,,,
0.2,60,,,,
0.2,65,,,,
0.2,70,,,,
0.2,75,,,,
0.2,80,,,,
0.2,85,,,,
0.2,90,,,,
0.2,95,,,,
0.2,100,,,,
0.2,105,,,,
0.2,110,,,,
0.2,115,,,,
0.2,120,,,,
0.2,125,,,,
0.2,130,,,,
0.2,135,,,,
0.2,140,,,,
0.2,145,,,,
0.2,150,,,,
0.2,155,,,,
0.2,160,,,,
0.2,165,,,,
0.2,170,,,,
0.2,175,,,,
0.2,180,,,,
0.2,185,,,,
0.2,190,,,,
0.2,195,,,,
0.2,200,,,,
0.2,5,,,,
0.2,10,,,,
0.2,15,,,,
0.2,20,,,,
0.2,25,,,,
0.2,30,,,,
0.2,35,,,,
0.2,40,,,,
0.2,45,,,,
0.2,50,,,,
0.2,55,,,,
0.2,60,,,,
0.2,65,,,,
0.2,70,,,,
0.2,75,,,,
0.2,80,,,,
0.2,85,,,,
0.2,90,,,,
0.2,95,,,,
0.2,100,,,,
0.2,105,,,,
0.2,110,,,,
0.2,115,,,,
0.2,120,,,,
0.2,125,,,,
0.2,130,,,,
0.2,135,,,,
0.2,140,,,,
0.2,145,,,,
0.2,150,,,,
0.2,155,,,,
0.2,160,,,,
0.2,165,,,,
0.2,170,,,,
0.2,175,,,,
0.2,180,,,,
0.2,185,,,,
0.2,190,,,,
0.2,195,,,,
0.2,200,,,,
