T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0,0.0,10.636791390890416,-12.958505651886075,0.0,0.00025571778134472533,0.0,1.5138549070844858,0.0,3.310709505889159e-05,4.248758808229215,194.31991314888
30.0,20.0,0,0.0,21.453675840198297,-25.96344726987351,0.0,0.0005272215765692454,0.0,2.372347604969897,0.0,4.14421746237353e-05,4.4404112569905045,408.68099212646484
30.0,30.0,0,0.0,29.938849667217365,-37.664300238182825,0.0,0.0007417503229204098,0.0,3.993645469726839,0.0,8.633409470928908e-05,5.508686309896033,470.32881784439087
30.0,40.0,0,0.0,39.55190595318247,-48.932083357600156,0.0,0.0010050091322761307,0.0,4.037763575407892,0.0,6.389865737817009e-05,4.331481949243754,669.5903251171113
30.0,50.0,0,0.0,50.341519755622095,-62.755529562963794,0.0,0.001268300621562845,0.0,3.5080160868157693,0.0,5.5613185175699045e-05,5.567671256848298,957.7508881092073
30.0,60.0,0,0.0,53.54909844886211,-73.3339479900633,0.0,0.0014158703322537177,0.0,5.107052837716549,0.0,5.3891433427779246e-05,4.322682632340168,1177.2939074039462
30.0,70.0,0,0.0,65.51142635445083,-87.60596994948494,0.0,0.0017305775319888025,0.0,4.668566361763507,0.0,0.00010227286341701838,5.559941087325377,1476.9353592395782
30.0,80.0,0,0.0,73.13515422625998,-107.37570158809234,0.0,0.0020980263901920933,0.0,5.954201968078554,0.0,5.356663310817069e-05,4.259352389527688,1538.5284793376925
30.0,90.0,0,0.0,85.47648515354679,-117.74270380393008,0.0,0.0023277020166906632,0.0,7.025190603428988,0.0,5.455980807470608e-05,5.235739019080885,970.9975638389587
30.0,100.0,0,0.0,97.31902982173969,-137.47273321710952,0.0,0.0026986615566612204,0.0,10.872164566774327,0.0,0.00010079947733310934,6.6128172753026355,1068.9309775829315
30.0,110.0,0,0.0,102.65435624819327,-138.4154662135896,0.0,0.0028211968330010134,0.0,7.6040999359399954,0.0,6.719227985634741e-05,5.183470360672919,1166.5133690834045
30.0,120.0,0,0.0,123.28295856341006,-167.63181006258677,0.0,0.0033475692671009892,0.0,8.887705458872784,0.0,8.603037940046745e-05,5.480609921618155,1369.9217784404755
30.0,130.0,0,0.0,116.96840342996639,-171.24106838191096,0.0,0.0034655089951118306,0.0,7.114683670114545,0.0,9.145191052597823e-05,6.114161885276871,1423.2638189792633
30.0,140.0,0,0.0,129.9739942522512,-182.30917715413696,0.0,0.003672086339236568,0.0,12.135585648377683,0.0,6.096222065795349e-05,4.5883288143758625,1494.4332110881805
30.0,150.0,0,0.0,138.18523078851146,-196.9956191182794,0.0,0.0039307967450818194,0.0,14.296244834823499,0.0,4.323932002229128e-05,4.798149635915279,1725.4907145500183
30.0,160.0,0,0.0,154.72170737781846,-218.54718373766786,0.0,0.004445346544474021,0.0,10.176814999332226,0.0,6.935327749985331e-05,5.1987822552756,1605.614633321762
30.0,170.0,0,0.0,160.9427595513144,-211.43455932958807,0.0,0.0042853107794503945,0.0,14.11229050893228,0.0,0.00011027663889005069,6.214988253120503,1930.961280822754
30.0,180.0,0,0.0,175.40078453168388,-235.5102866524159,0.0,0.004740524003152497,0.0,15.051760909796421,0.0,0.00010563452007446349,3.1715736884574044,1967.1980261802673
30.0,190.0,0,0.0,180.75044359148603,-247.85224708717774,0.0,0.004995160668091554,0.0,13.895073902738606,0.0,6.083816948394665e-05,4.464926250650655,2141.216208457947
30.0,200.0,0,0.0,205.19804102510236,-272.4121962406603,0.0,0.005480394426435894,0.0,18.070284089271862,0.0,6.79762740295002e-05,2.95385357513069,2117.687425136566
45.0,10.0,0,0.0,9.95973539497004,-11.10991972987231,0.0,0.00022916185512441878,0.0,1.537165064395265,0.0,3.158606747333549e-05,4.356573634401214,75.60072684288025
45.0,20.0,0,0.0,18.772624417150425,-22.403372716565208,0.0,0.00044192213504589463,0.0,2.5126051798608104,0.0,5.22945258557371e-05,4.16736318127806,190.49543023109436
45.0,30.0,0,0.0,30.335853136053593,-36.98883737077672,0.0,0.0007168332148789635,0.0,2.969025586759072,0.0,5.695772924339285e-05,7.1733168239647265,253.9822404384613
