T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0.75,0.7506726228736058,9.8671639154467,-19.583358096434733,0.00018416921810699587,6.116971193415639e-05,0.08122028410186848,1.9269515904693624,4.0902472613252464e-05,2.2155476784393996e-05,8.501162675579256,70.3123083114624
30.0,10.0,0.75,0.7521647473182709,9.684624304965329,-18.40060026479368,0.0001807367901234568,5.955204389574761e-05,0.07944491887506709,1.8796731577355184,3.90978047509722e-05,2.208437982470354e-05,8.288016497350032,72.11058974266052
30.0,10.0,0.75,0.74212115766959,9.943204663408762,-19.11227538014917,0.0001826491083676269,6.346853223593966e-05,0.08288981650370797,1.9370601573567414,3.973503013986025e-05,2.379736855483862e-05,8.298223742558408,71.26827192306519
30.0,20.0,0.75,0.7408753786917381,19.82679764298873,-40.16881365961134,0.00037638705075445814,0.00013164312757201645,0.0602394139676296,3.2071554348261326,6.005609375688321e-05,3.692663374638835e-05,11.341436721762072,131.7592797279358
30.0,20.0,0.75,0.7472928007173992,19.38149425483508,-39.22990693311984,0.00037128581618655693,0.00012555533607681757,0.05985372975753929,3.188802986118536,6.277625300234126e-05,3.476277474411931e-05,11.0287563426397,131.66444206237793
30.0,20.0,0.75,0.7459757755200799,19.730701437736677,-39.92351325750397,0.00037707423868312754,0.00012840362139917693,0.06206529782488811,3.3526418210745996,6.372834398832815e-05,3.6756705516608356e-05,11.318854529261964,131.91319751739502
30.0,30.0,0.75,0.7385658363355042,29.313055929025023,-62.599490934239945,0.0005757345404663923,0.00020379588477366256,0.053490019976856276,4.56453428777098,7.788668014971379e-05,4.8756788411273196e-05,11.933529612669327,194.6809799671173
30.0,30.0,0.75,0.7491362692898004,29.728314357589312,-63.876445613965274,0.0005910191495198902,0.00019791495198902607,0.050261985910022934,4.843850304911683,8.554021911188463e-05,4.413948871810966e-05,13.275418037511134,196.1209681034088
30.0,30.0,0.75,0.7391301241373319,28.900853889437524,-61.31387056014712,0.0005676240329218108,0.00020033821673525376,0.05341089465120262,4.383113687635348,8.50957095376347e-05,4.3866998716806876e-05,13.001298283295812,195.06801009178162
30.0,40.0,0.75,0.7452259437261001,39.95008703593409,-88.68261139154822,0.0008244345679012346,0.0002818534979423868,0.0404825947794264,6.294600359904372,0.0001058101431735865,4.959099013985822e-05,13.513043812986956,263.78435730934143
30.0,40.0,0.75,0.750961114179577,39.1497434407414,-88.03353494238304,0.0008161564883401921,0.00027065942386831276,0.040555860792898565,6.080225703204815,0.00010542614773813149,5.249527519594446e-05,14.374820080741342,266.77391171455383
30.0,40.0,0.75,0.732294667472675,39.035916588743284,-85.91465180314594,0.000789117037037037,0.00028847791495198905,0.04667470109867874,6.564408614402524,0.00010778986924854281,5.97183844912852e-05,13.965468777225189,267.2331156730652
30.0,50.0,0.75,0.7324927206663142,46.5524327875559,-107.33460481031673,0.000988484718792867,0.00036099588477366256,0.039046479747830876,7.5343418650370895,0.00011124847070249889,6.0445148778114104e-05,15.046855388172746,339.9339370727539
30.0,50.0,0.75,0.7365568311737157,47.33761577627003,-108.15619887416915,0.0010117738271604938,0.0003618796159122085,0.039347577877590356,7.571534657593883,0.0001285977831693069,6.0131982555631865e-05,14.666361608372721,341.0568609237671
30.0,50.0,0.75,0.7361089681347311,49.14899695677532,-112.29012546558087,0.001039761975308642,0.0003727489711934156,0.038520048057126575,8.33808975478713,0.00011222922953830199,6.725887245551919e-05,15.318511988599658,340.20384645462036
30.0,60.0,0.75,0.7291125190426005,56.43696249457311,-135.69444450115634,0.001251125157750343,0.00046483105624142663,0.03258973002308308,10.061236213368566,0.00015721825906815773,6.856129212751449e-05,20.39810702878177,422.57401061058044
30.0,60.0,0.75,0.7221292083795322,55.315106678971546,-133.41580916422447,0.0012183798079561043,0.0004688249108367627,0.036138990496504986,8.886157268162597,0.00014076324230678718,7.804080063142634e-05,19.543112551688807,423.7647337913513
30.0,60.0,0.75,0.7293928535642562,56.27818447570546,-134.5054538090282,0.001247767572016461,0.0004629258710562414,0.0316567356249312,9.297207067219697,0.00014683625501761175,6.526102512538285e-05,17.08199127538292,425.10379123687744
30.0,70.0,0.75,0.7338480411165353,63.60371065209663,-166.71853076414067,0.0015368183264746226,0.0005573731687242798,0.029168998997439143,11.492014366791302,0.00018504864479136052,7.211936551543514e-05,20.976578744998093,506.41977739334106
30.0,70.0,0.75,0.7365069174873466,64.70776273911372,-171.39944079459588,0.0015719513854595335,0.0005623821124828532,0.03374618567182049,10.240632038843447,0.0001869071073273927,7.239923203292145e-05,22.000887090839935,516.5044765472412
30.0,70.0,0.75,0.7217132097230214,65.14703423822056,-163.29319241303892,0.0014993930315500685,0.0005781538545953361,0.034999956520021344,12.106390628751013,0.00020011513060889545,8.052795542755139e-05,23.726025888203974,515.3088548183441
30.0,80.0,0.75,0.7204833706449102,75.08125768406435,-200.5630817792763,0.0018294886145404665,0.000709763072702332,0.02849597706094573,14.651414830468383,0.00021381676850526518,7.468731811352097e-05,23.235330673356714,624.0967373847961
30.0,80.0,0.75,0.7229490208323577,73.83708377882314,-200.40206664649477,0.0018517158847736626,0.0007096208504801098,0.0257418872649102,12.967311896825002,0.00023814471935139947,9.2846941275144e-05,27.97747301095664,617.3243556022644
30.0,80.0,0.75,0.7165428796151658,79.30049705812772,-209.8564354044551,0.0019132105349794239,0.0007568467489711934,0.028775455572771814,14.1884451901365,0.00018960568638657933,8.855333390511618e-05,23.257553557466043,618.285361289978
30.0,90.0,0.75,0.70840424861615,81.89459226747948,-228.36374046409404,0.002085130864197531,0.0008582886145404665,0.029445541856630814,14.735258546548287,0.00024261248860960846,8.915695114951638e-05,25.490271228296724,739.6764752864838
30.0,90.0,0.75,0.707978207067265,83.82296180197531,-231.1103068977384,0.0021408319341563783,0.0008830350617283952,0.02403365347561414,15.38576836081231,0.00026664338205937963,0.00010218431920171632,27.01190302212592,710.9513123035431
30.0,90.0,0.75,0.720232189220311,83.4042159785545,-241.19411173452886,0.002254568449931413,0.0008757671330589849,0.029940976571583372,16.49420210947603,0.00028911259673702596,9.328657515387147e-05,29.610557817305494,729.0612177848816
30.0,100.0,0.75,0.6937049671784935,93.3906238520878,-291.4728062546029,0.002631981124828532,0.0011621118244170097,0.025355843440876037,21.305834744035547,0.0003114901419743183,0.00012810448892089152,27.097210786355365,844.4111123085022
30.0,100.0,0.75,0.6947390782476152,90.59347243666954,-262.16239068793317,0.0024063562139917697,0.0010573271879286694,0.03018562156749984,18.46971106515721,0.0002596078127359445,0.0001218743253183148,26.387493491977636,851.1770632266998
30.0,100.0,0.75,0.7079140733014595,91.04615532112861,-275.2853706784867,0.0025514259533607683,0.001052720438957476,0.028075812595389174,18.78326071768379,0.00028100713226257253,0.0001436931622944389,26.230277126952423,847.5289857387543
30.0,110.0,0.75,0.6989480181889977,100.86776963326821,-318.3979527868236,0.0029573478189300405,0.0012737934705075444,0.026226458339859274,22.214522694993025,0.0004085658024014007,0.00011361881342281139,37.8813834385313,1027.708777666092
30.0,110.0,0.75,0.6832603306007071,98.23014661317877,-290.7373369902619,0.0026663491906721536,0.0012360421399176954,0.021404232190986798,19.08586622937909,0.00026240099400862653,0.00010209672950656152,27.30588980507603,1011.8113594055176
30.0,110.0,0.75,0.6855064082842813,95.94508650474515,-286.6997538966029,0.0026518175034293554,0.0012165890809327847,0.02551965431396604,18.861532623624132,0.00026493119647530254,9.454047682335353e-05,22.304240244616324,978.8665733337402
30.0,120.0,0.75,0.7055198346651826,113.72022058538384,-394.8440341551086,0.003775026392318244,0.00157567561042524,0.02120303766730904,28.163476209656974,0.00035509156812324005,7.269178393147728e-05,32.618826383741904,1252.654224872589
30.0,120.0,0.75,0.7107840766946302,113.27591459069048,-444.68553338543046,0.004232811412894376,0.001722318353909465,0.01785828489013797,26.535379040100086,0.0002742589413024112,0.00010572073014897314,25.189825868879012,1319.4884791374207
30.0,120.0,0.75,0.6960193701862554,110.96138877876123,-361.01191691801523,0.003404410425240055,0.0014868477366255144,0.02108757223505196,27.572979850818598,0.0004210516924937239,0.00011952987197637812,36.87769694576353,1206.7033641338348
30.0,130.0,0.75,0.7141876022870449,120.34133180363172,-477.1398429240561,0.0046331956104252395,0.001854169327846365,0.012889870598514814,33.646169797833466,0.0003208261289716369,0.0001050591539630897,24.049268525691613,1502.7047636508942
30.0,130.0,0.75,0.7134328733520338,134.51019182036376,-485.4332654021764,0.0047200678189300415,0.0018959264746227708,0.019134502123715338,29.97543330887342,0.0002779927971515138,0.00016714433535505317,20.415790355482898,1489.37455701828
30.0,130.0,0.75,0.6982352853372904,111.42895536034976,-421.6819398762507,0.004029701069958848,0.0017415642249657064,0.021251234219553716,29.355482408333543,0.00038220324530309583,0.00010665835177807098,32.05150931995661,1444.2915587425232
30.0,140.0,0.75,0.7246875161040488,129.6015656300241,-590.0352265310926,0.005963006748971194,0.0022653766803840875,0.018872121006787045,36.639163442937246,0.0003405405383956306,9.797289300475742e-05,18.036840574140786,1765.94659781456
