yc0,P0,ycf,Pf,rhoco,rhome
0.1,5,0.09893342591466996,5.096844740870747,1.1523900000000002e-05,0.00010495746000000001
0.1,10,0.10592379531116926,10.007122790177434,2.4494829999999997e-05,0.00020675472
0.1,15,0.09759558073451736,14.974213109066426,3.405158999999999e-05,0.00031485345
0.1,20,0.10081513721355603,20.0340471708533,4.742226000000001e-05,0.00042296603
0.1,25,0.09907459048784256,25.272721277216444,5.9289119999999996e-05,0.0005391399999999999
0.1,30,0.09923499332230397,30.301863449853364,7.16975e-05,0.00065080469
0.1,35,0.0977042839869168,35.8447558476727,8.40963e-05,0.0007766264499999999
0.1,40,0.09965310172450344,39.997301725892676,9.59823e-05,0.0008671819
0.1,45,0.10118541944324254,45.919602419432294,0.00011304924999999997,0.00100419917
0.1,50,0.101957659478895,50.254985588116405,0.00012549692000000002,0.0011053759799999998
0.1,55,0.10369243648814028,54.88572446181198,0.00014106938000000001,0.0012193903100000002
0.1,60,0.09925898315238504,60.2215414494851,0.00014987471000000002,0.0013600612699999999
0.1,65,0.10703238406796974,63.72995315904268,0.00017254648999999998,0.00143954962
0.1,70,0.09962306439583013,71.29034916512333,0.00017564221000000002,0.0015874255199999998
0.1,75,0.09403742681067391,76.00207706954495,0.00018258529,0.00175903834
0.1,80,0.09656413131713111,80.05466373507804,0.00019822302,0.0018545373299999998
0.1,85,0.0970271986903915,84.28153992421157,0.00021217819999999997,0.00197461275
0.1,90,0.09551599535010065,92.1756853796728,0.00022746199,0.00215394009
0.1,95,0.09064264315213175,92.43110550311506,0.00022003002999999998,0.0022074149600000005
0.1,100,0.08958396555531598,98.23746146654022,0.00022861631999999998,0.0023233617999999998
0.1,105,0.09147539881000626,104.36769989612279,0.00024872553,0.00247031733
0.1,110,0.08992355002146168,157.34340901189398,0.000258753,0.0026187245899999996
0.1,115,0.08911777801355308,111.8166323715451,0.00026644899,0.0027234032700000003
0.1,120,0.09038031724184575,116.9607634282277,0.00027977759,0.0028157812499999997
0.1,125,0.09079685566194776,120.71367654398772,0.00029673496,0.00297138438
0.1,130,0.08158561600209947,125.09957489565687,0.00027351913,0.00307902196
0.1,135,0.08350218413093927,146.67691475984103,0.00028999996,0.00318296261
0.1,140,0.0915021536097627,137.02454356879494,0.00033041577,0.00328060055
0.1,145,0.08938848397271364,136.9776574020185,0.00033290723,0.0033913670299999996
0.1,150,0.09132650747977678,146.1639621744345,0.00034949689,0.0034773974000000003
0.1,155,0.08534882377940754,158.41808497227944,0.00034628108,0.00371096382
0.1,160,0.07931137460127359,149.14205837677306,0.00031647333,0.00367379076
0.1,165,0.0852591070248351,156.33987601203697,0.00035950614000000003,0.0038571242300000004
0.1,170,0.08572703894758371,158.73773172410864,0.00037025843999999997,0.0039487807399999995
0.1,175,0.08145596295847328,192.4445107710613,0.00035689717,0.00402457666
0.1,180,0.08536833043068397,69.87177930716364,0.00039034529000000004,0.0041821383
0.1,185,0.08268791155731542,-2300.159992594821,0.00038703679000000004,0.0042936569499999995
0.1,190,0.08939307779976903,299.40938372429264,0.00042430778999999995,0.00432223188
0.1,195,0.08759887974349359,192.2174688941996,0.00043597676000000003,0.0045409905399999995
0.1,200,0.08555951541489337,173.65805406838695,0.00041549359,0.00444070023
0.2,5,0.20293494666289277,5.059448152809869,2.363879e-05,9.284577999999998e-05
0.2,10,0.20701411865437602,9.982473459776463,4.8007220000000005e-05,0.0001838959
0.2,15,0.20098386288039718,15.03242272987543,7.073901999999999e-05,0.00028122466
0.2,20,0.2049820746461645,20.193663935939327,9.769533e-05,0.00037890893000000004
0.2,25,0.19796422522692,24.904346865550487,0.00011752227000000001,0.00047613181
0.2,30,0.2013483583794799,30.287460791743822,0.00014684399,0.0005824591500000001
0.2,35,0.20175335617688514,35.24662773608961,0.00017180578000000003,0.00067975765
0.2,40,0.19691006550435589,40.31455083650706,0.00019402438,0.0007913207799999999
0.2,45,0.20854579048585406,45.61712672948231,0.00023604618999999998,0.00089582125
0.2,50,0.20231362066368316,50.598507420245575,0.00025466874,0.0010041132400000002
0.2,55,0.20523823297422095,55.47326113175407,0.0002857695,0.0011066099599999998
0.2,60,0.1988718777045904,29.31000596718794,0.00030767997,0.0012394466199999999
0.2,65,0.19820347402357272,64.28067896460821,0.00033147372,0.00134091735
0.2,70,0.19487485557227713,70.45304531758906,0.00035687535000000005,0.00147442992
0.2,75,0.193804417908696,74.12806239736719,0.00037305156,0.00155183521
0.2,80,0.19243578377107126,78.8797803028758,0.00039913815999999996,0.0016749987399999999
0.2,85,0.19081828223776523,83.26001351300869,0.00041572273000000005,0.00176290882
0.2,90,0.18962342699089907,88.17331905914361,0.00044534305,0.00190322251
0.2,95,0.1832137147925238,97.68081421695393,0.00045826324000000006,0.00204298641
0.2,100,0.18795563662001014,97.07222604365434,0.0004887186,0.002111462
0.2,105,0.19454445459990877,103.98122664011342,0.0005583199299999999,0.0023115636199999997
0.2,110,0.18799242429784657,107.15985221816402,0.00056019379,0.0024196804900000002
0.2,115,0.18908928415256393,110.35653931531797,0.0005688910099999999,0.0024396930700000003
0.2,120,0.19125026569000225,117.22506115493084,0.0006187614399999999,0.002616588
0.2,125,0.1796689896372201,133.69521092815208,0.0005910947500000001,0.00269881494
0.2,130,0.1767770966222772,121.59142943735466,0.0006088466800000001,0.0028353024300000005
0.2,135,0.18493031359663897,124.06748501296774,0.00066182834,0.00291697022
0.2,140,0.18483152340414322,130.00785656183996,0.00066450996,0.00293070988
0.2,145,0.1731365618918915,133.10463054664712,0.00065106543,0.00310935018
0.2,150,0.17746665602699613,135.68851210284367,0.0006898284699999999,0.0031972593099999997
0.2,155,0.1822094176314791,143.84902453992683,0.0007547987900000001,0.00338768078
0.2,160,0.1737662987103513,154.01852735774935,0.0007315722899999999,0.0034785207799999996
0.2,165,0.16617348956026473,157.66335576807936,0.00069425073,0.00348361622
0.2,170,0.17294012665938346,157.30938749626475,0.0007713877200000001,0.0036890445400000003
