"exp","yco","t_c","p_bar","s_box","n_moves","n_equil","n_prod"
1,1,62.2,70,34,1000,1000000,100000
2,0.2,62.3,138.2,34,1000,1000000,100000
3,0.2,62.3,174.4,34,1000,1000000,100000
4,0.2,62.3,208.2,34,1000,1000000,100000
5,0.2,62.3,278.9,34,1000,1000000,100000
6,0.2,62.3,344,34,1000,1000000,100000
7,0.2,62.3,419.2,34,1000,1000000,100000
8,0.2,62.3,491.9,34,1000,1000000,100000
9,0.2,62.3,550.9,34,1000,1000000,100000
10,0.2,62.3,631.2,34,1000,1000000,100000
11,0.2,62.3,706.4,34,1000,1000000,100000
12,0.8,62.4,70,34,1000,1000000,100000
13,0.8,62.4,104.8,34,1000,1000000,100000
14,0.5,62.4,105.8,34,1000,1000000,100000
15,0.8,62.4,136.2,34,1000,1000000,100000
16,0.5,62.4,139.6,34,1000,1000000,100000
17,0,62.4,174.4,34,1000,1000000,100000
18,0.8,62.4,174.4,34,1000,1000000,100000
19,0.5,62.4,174.8,34,1000,1000000,100000
20,0.8,62.4,208.9,34,1000,1000000,100000
21,0.5,62.4,211,34,1000,1000000,100000
22,0.8,62.4,277.2,34,1000,1000000,100000
23,0.5,62.4,280.6,34,1000,1000000,100000
24,0.8,62.4,344.4,34,1000,1000000,100000
25,0.5,62.4,348.5,34,1000,1000000,100000
26,0.8,62.4,416.4,34,1000,1000000,100000
27,0.5,62.4,418.9,34,1000,1000000,100000
28,0.5,62.4,486.1,34,1000,1000000,100000
29,0.8,62.4,486.4,34,1000,1000000,100000
30,0.8,62.4,556.4,34,1000,1000000,100000
31,0.5,62.4,560.2,34,1000,1000000,100000
32,0.5,62.4,629.5,34,1000,1000000,100000
33,0.8,62.4,630.5,34,1000,1000000,100000
34,0.8,62.4,706.4,34,1000,1000000,100000
35,0.8,97.5,104.1,34,1000,1000000,100000
36,0.5,97.5,105.8,34,1000,1000000,100000
37,0.8,97.5,139.3,34,1000,1000000,100000
38,0.5,97.5,141,34,1000,1000000,100000
39,0.8,97.5,173.1,34,1000,1000000,100000
40,0.5,97.5,173.7,34,1000,1000000,100000
41,0.8,97.5,208.2,34,1000,1000000,100000
42,0.5,97.5,211,34,1000,1000000,100000
43,0.5,97.5,280.6,34,1000,1000000,100000
44,0.8,97.5,280.6,34,1000,1000000,100000
45,0.5,97.5,349.9,34,1000,1000000,100000
46,0.8,97.5,352.3,34,1000,1000000,100000
47,0.5,97.5,416.1,34,1000,1000000,100000
48,0.8,97.5,423.7,34,1000,1000000,100000
49,0.8,97.5,495,34,1000,1000000,100000
50,0.5,97.5,499.2,34,1000,1000000,100000
51,0.8,97.5,557.1,34,1000,1000000,100000
52,0.5,97.5,563.3,34,1000,1000000,100000
53,0.8,97.5,610.5,34,1000,1000000,100000
54,0.5,97.5,637.4,34,1000,1000000,100000
55,0.8,97.5,691.2,34,1000,1000000,100000
56,0.5,97.5,695,34,1000,1000000,100000
57,0.2,97.6,140,34,1000,1000000,100000
58,0.2,97.6,174.8,34,1000,1000000,100000
59,0.2,97.6,210.3,34,1000,1000000,100000
60,0.2,97.6,282.7,34,1000,1000000,100000
61,0.2,97.6,348.9,34,1000,1000000,100000
62,0.2,97.6,420.9,34,1000,1000000,100000
63,0.2,97.6,496.1,34,1000,1000000,100000
64,0.2,97.6,560.5,34,1000,1000000,100000
65,0.2,97.6,632.9,34,1000,1000000,100000
66,0.2,97.6,697.7,34,1000,1000000,100000
67,0.5,130.5,105.5,34,1000,1000000,100000
68,0.5,130.5,138.9,34,1000,1000000,100000
69,0.2,130.5,140,34,1000,1000000,100000
70,0.2,130.5,173.1,34,1000,1000000,100000
71,0.5,130.5,174.4,34,1000,1000000,100000
72,0.2,130.5,207.9,34,1000,1000000,100000
73,0.5,130.5,209.3,34,1000,1000000,100000
74,0.5,130.5,276.1,34,1000,1000000,100000
75,0.2,130.5,278.9,34,1000,1000000,100000
76,0.5,130.5,335.4,34,1000,1000000,100000
77,0.2,130.5,344,34,1000,1000000,100000
78,0.2,130.5,403.7,34,1000,1000000,100000
79,0.5,130.5,404,34,1000,1000000,100000
80,0.2,130.5,463,34,1000,1000000,100000
81,0.5,130.5,466.1,34,1000,1000000,100000
82,0.5,130.5,519.2,34,1000,1000000,100000
83,0.2,130.5,556.8,34,1000,1000000,100000
84,0.5,130.5,596.7,34,1000,1000000,100000
85,0.2,130.5,601.6,34,1000,1000000,100000
86,0.5,130.5,631.6,34,1000,1000000,100000
87,0.2,130.5,649.5,34,1000,1000000,100000
88,0.8,130.9,105.5,34,1000,1000000,100000
89,0.8,130.9,136.9,34,1000,1000000,100000
90,0.8,130.9,173.4,34,1000,1000000,100000
91,0.8,130.9,207.2,34,1000,1000000,100000
92,0.8,130.9,257.9,34,1000,1000000,100000
93,0.8,130.9,338.5,34,1000,1000000,100000
94,0.8,130.9,413,34,1000,1000000,100000
95,0.8,130.9,464.4,34,1000,1000000,100000
96,0.8,130.9,539.9,34,1000,1000000,100000
97,0.8,130.9,630.9,34,1000,1000000,100000
98,0.8,130.9,705,34,1000,1000000,100000
99,0.5,162.4,140,34,1000,1000000,100000
100,0.5,162.4,174.8,34,1000,1000000,100000
101,0.5,162.4,208.9,34,1000,1000000,100000
102,0.5,162.4,267.5,34,1000,1000000,100000
103,0.5,162.4,311.6,34,1000,1000000,100000
104,0.5,162.4,353,34,1000,1000000,100000
105,0.5,162.4,400.9,34,1000,1000000,100000
106,0.5,162.4,438.5,34,1000,1000000,100000
107,0.5,162.4,487.8,34,1000,1000000,100000
108,0.8,0,45.3,34,1000,1000000,100000
109,0.7,0,49.2,34,1000,1000000,100000
110,0.7,0,56.9,34,1000,1000000,100000
111,0.7,0,60.9,34,1000,1000000,100000
112,0.7,0,86.7,34,1000,1000000,100000
113,0.7,0,90.7,34,1000,1000000,100000
114,0.7,0,98.5,34,1000,1000000,100000
115,0.7,0,106.1,34,1000,1000000,100000
116,0.7,0,121.7,34,1000,1000000,100000
117,0.7,0,133.4,34,1000,1000000,100000
118,0.7,0,145.1,34,1000,1000000,100000
119,0.7,0,67.3,34,1000,1000000,100000
120,0.7,0,73.5,34,1000,1000000,100000
121,0.6,0,67.3,34,1000,1000000,100000
122,0.6,0,86.7,34,1000,1000000,100000
123,0.6,0,106.1,34,1000,1000000,100000
124,0.6,0,121.7,34,1000,1000000,100000
125,0.6,0,129.5,34,1000,1000000,100000
126,0.6,0,145.1,34,1000,1000000,100000
127,0.5,0,67.3,34,1000,1000000,100000
128,0.5,0,86.7,34,1000,1000000,100000
129,0.5,0,106.1,34,1000,1000000,100000
130,0.5,0,113.9,34,1000,1000000,100000
131,0.5,0,129.5,34,1000,1000000,100000
132,0.5,0,145.1,34,1000,1000000,100000
133,0.9,15,41.5,34,1000,1000000,100000
134,0.9,15,49.3,34,1000,1000000,100000
135,0.9,15,53.2,34,1000,1000000,100000
