T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0.25,0.24849721538071626,10.06502411773588,-14.716793857621305,6.14580925218362e-05,0.0001858609465574461,0.0669702305662137,1.213962553987031,1.806313230406631e-05,2.521253910924761e-05,4.437472639873369,232.3634283542633
30.0,20.0,0.25,0.25068519795589983,19.406067218011106,-30.297817786584872,0.00012152219847897999,0.0003632379687342354,0.036365928908455664,1.9345143819944095,2.196938946943831e-05,2.932808314110523e-05,5.547216694635768,484.1917209625244
30.0,30.0,0.25,0.23508673776050626,28.19601609318864,-41.3576252715494,0.00016658246595388886,0.0005420175492608959,0.03855432181053807,2.6948789430141815,2.741551511698877e-05,4.078791982915787e-05,5.00433787332875,639.9982743263245
30.0,40.0,0.25,0.24880410215769946,40.99200357506803,-61.08115315053066,0.00025565885032162146,0.0007718919340282974,0.02066209499587729,3.7698747493446167,3.104537882636373e-05,5.741294241689471e-05,6.705097243670655,981.2047653198242
30.0,50.0,0.25,0.2519537694371348,49.588924348814544,-83.16050602645991,0.0003473196279207439,0.001031185757002278,0.020508995335528548,3.311176089603161,3.7046559784202876e-05,4.392027833402284e-05,6.33023527648818,1201.0786759853363
30.0,60.0,0.25,0.2712334191249258,58.419119433330316,-95.79404585993572,0.00043083399518062225,0.0011575911943502704,0.021370895371560693,7.468735232521302,3.690669269858405e-05,5.3809452643002696e-05,6.297430775955924,1668.2927560806274
30.0,70.0,0.25,0.2433464990763692,65.65409768114134,-103.78950176018726,0.00043269246535468766,0.0013453995433530112,0.018103913249325147,5.930796205660039,4.033012977475637e-05,6.087893497879907e-05,5.825358863603246,1789.4615576267242
30.0,80.0,0.25,,,,,,,,,,,
30.0,90.0,0.25,,,,,,,,,,,
30.0,100.0,0.25,,,,,,,,,,,
30.0,110.0,0.25,,,,,,,,,,,
30.0,120.0,0.25,,,,,,,,,,,
30.0,130.0,0.25,,,,,,,,,,,
30.0,140.0,0.25,,,,,,,,,,,
30.0,150.0,0.25,,,,,,,,,,,
30.0,160.0,0.25,,,,,,,,,,,
30.0,170.0,0.25,,,,,,,,,,,
30.0,180.0,0.25,,,,,,,,,,,
30.0,190.0,0.25,,,,,,,,,,,
30.0,200.0,0.25,,,,,,,,,,,
45.0,10.0,0.25,,,,,,,,,,,
45.0,20.0,0.25,,,,,,,,,,,
45.0,30.0,0.25,,,,,,,,,,,
45.0,40.0,0.25,,,,,,,,,,,
45.0,50.0,0.25,,,,,,,,,,,
45.0,60.0,0.25,,,,,,,,,,,
45.0,70.0,0.25,,,,,,,,,,,
45.0,80.0,0.25,,,,,,,,,,,
45.0,90.0,0.25,,,,,,,,,,,
45.0,100.0,0.25,,,,,,,,,,,
45.0,110.0,0.25,,,,,,,,,,,
45.0,120.0,0.25,,,,,,,,,,,
45.0,130.0,0.25,,,,,,,,,,,
45.0,140.0,0.25,,,,,,,,,,,
45.0,150.0,0.25,,,,,,,,,,,
45.0,160.0,0.25,,,,,,,,,,,
45.0,170.0,0.25,,,,,,,,,,,
45.0,180.0,0.25,,,,,,,,,,,
45.0,190.0,0.25,,,,,,,,,,,
45.0,200.0,0.25,,,,,,,,,,,
60.0,10.0,0.25,,,,,,,,,,,
60.0,20.0,0.25,,,,,,,,,,,
60.0,30.0,0.25,,,,,,,,,,,
60.0,40.0,0.25,,,,,,,,,,,
60.0,50.0,0.25,,,,,,,,,,,
60.0,60.0,0.25,,,,,,,,,,,
60.0,70.0,0.25,,,,,,,,,,,
60.0,80.0,0.25,,,,,,,,,,,
60.0,90.0,0.25,,,,,,,,,,,
60.0,100.0,0.25,,,,,,,,,,,
60.0,110.0,0.25,,,,,,,,,,,
60.0,120.0,0.25,,,,,,,,,,,
60.0,130.0,0.25,,,,,,,,,,,
60.0,140.0,0.25,,,,,,,,,,,
60.0,150.0,0.25,,,,,,,,,,,
60.0,160.0,0.25,,,,,,,,,,,
60.0,170.0,0.25,,,,,,,,,,,
60.0,180.0,0.25,,,,,,,,,,,
60.0,190.0,0.25,,,,,,,,,,,
60.0,200.0,0.25,,,,,,,,,,,
