T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0.25,0.249975616007694,9.629231355825326,-13.65890460185039,5.904084910143185e-05,0.00017714558397696344,0.0773752723853745,1.5937597352105672,2.008468823052994e-05,3.333384662853242e-05,4.0857933639192066,89.22273898124695
30.0,20.0,0.25,0.2582867363614074,19.702646006381073,-30.11674375716858,0.0001281128298082828,0.00036789726971545364,0.030587783552089725,1.869225807808959,1.8255778885128575e-05,3.478084164361011e-05,5.737951192802818,223.99128437042236
30.0,30.0,0.25,0.23943806742855228,29.739220097973508,-47.06235176578369,0.00018345173918564683,0.0005827244213381529,0.033335444521940406,3.070253684251869,2.6774077577235886e-05,5.665972861818802e-05,6.77713273677063,712.4633457660675
30.0,40.0,0.25,0.259362656459633,39.854979248679825,-63.29210694466227,0.0002704119640873783,0.0007721898035632585,0.02712740890187191,4.383663403934729,2.6049427746802982e-05,8.871956790931859e-05,7.449836156480946,924.412652015686
30.0,50.0,0.25,0.24460935168126471,49.9719343823304,-75.95855886628189,0.00031830788524672866,0.0009829828587862137,0.018473711753929506,4.567280338656349,3.5606109069521736e-05,7.081577249014475e-05,8.088951467593787,1240.362720489502
30.0,60.0,0.25,0.24130291633468273,58.519787097065546,-94.47582809465666,0.0003851822745283804,0.0012110780623924534,0.017195036143564664,4.75553251286026,2.8223531026295416e-05,6.457079301402431e-05,6.238811592942949,1501.7526273727417
30.0,70.0,0.25,,,,,,,,,,,
30.0,80.0,0.25,,,,,,,,,,,
30.0,90.0,0.25,,,,,,,,,,,
30.0,100.0,0.25,,,,,,,,,,,
30.0,110.0,0.25,,,,,,,,,,,
30.0,120.0,0.25,,,,,,,,,,,
30.0,130.0,0.25,,,,,,,,,,,
30.0,140.0,0.25,,,,,,,,,,,
30.0,150.0,0.25,,,,,,,,,,,
30.0,160.0,0.25,,,,,,,,,,,
30.0,170.0,0.25,,,,,,,,,,,
30.0,180.0,0.25,,,,,,,,,,,
30.0,190.0,0.25,,,,,,,,,,,
30.0,200.0,0.25,,,,,,,,,,,
45.0,10.0,0.25,,,,,,,,,,,
45.0,20.0,0.25,,,,,,,,,,,
45.0,30.0,0.25,,,,,,,,,,,
45.0,40.0,0.25,,,,,,,,,,,
45.0,50.0,0.25,,,,,,,,,,,
45.0,60.0,0.25,,,,,,,,,,,
45.0,70.0,0.25,,,,,,,,,,,
45.0,80.0,0.25,,,,,,,,,,,
45.0,90.0,0.25,,,,,,,,,,,
45.0,100.0,0.25,,,,,,,,,,,
45.0,110.0,0.25,,,,,,,,,,,
45.0,120.0,0.25,,,,,,,,,,,
45.0,130.0,0.25,,,,,,,,,,,
45.0,140.0,0.25,,,,,,,,,,,
45.0,150.0,0.25,,,,,,,,,,,
45.0,160.0,0.25,,,,,,,,,,,
45.0,170.0,0.25,,,,,,,,,,,
45.0,180.0,0.25,,,,,,,,,,,
45.0,190.0,0.25,,,,,,,,,,,
45.0,200.0,0.25,,,,,,,,,,,
60.0,10.0,0.25,,,,,,,,,,,
60.0,20.0,0.25,,,,,,,,,,,
60.0,30.0,0.25,,,,,,,,,,,
60.0,40.0,0.25,,,,,,,,,,,
60.0,50.0,0.25,,,,,,,,,,,
60.0,60.0,0.25,,,,,,,,,,,
60.0,70.0,0.25,,,,,,,,,,,
60.0,80.0,0.25,,,,,,,,,,,
60.0,90.0,0.25,,,,,,,,,,,
60.0,100.0,0.25,,,,,,,,,,,
60.0,110.0,0.25,,,,,,,,,,,
60.0,120.0,0.25,,,,,,,,,,,
60.0,130.0,0.25,,,,,,,,,,,
60.0,140.0,0.25,,,,,,,,,,,
60.0,150.0,0.25,,,,,,,,,,,
60.0,160.0,0.25,,,,,,,,,,,
60.0,170.0,0.25,,,,,,,,,,,
60.0,180.0,0.25,,,,,,,,,,,
60.0,190.0,0.25,,,,,,,,,,,
60.0,200.0,0.25,,,,,,,,,,,
