Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
318.15	5.0000	0.19293	5.1834	20.284	22.876	109.31	30.140	39.281	274.18	0.92860	15.928	0.018447	vapor
318.15	10.000	0.39422	2.5367	20.154	22.690	103.14	30.573	40.656	270.96	0.92945	15.980	0.018692	vapor
318.15	15.000	0.60480	1.6534	20.018	22.498	99.333	31.028	42.188	267.68	0.92996	16.047	0.018970	vapor
318.15	20.000	0.82579	1.2110	19.876	22.298	96.487	31.507	43.909	264.33	0.93004	16.131	0.019288	vapor
318.15	25.000	1.0585	0.94474	19.727	22.089	94.153	32.013	45.857	260.91	0.92959	16.234	0.019653	vapor
318.15	30.000	1.3045	0.76656	19.571	21.871	92.131	32.551	48.086	257.40	0.92848	16.359	0.020074	vapor
318.15	35.000	1.5659	0.63863	19.407	21.642	90.312	33.125	50.664	253.81	0.92654	16.510	0.020565	vapor
318.15	40.000	1.8449	0.54202	19.233	21.401	88.630	33.741	53.683	250.12	0.92356	16.693	0.021143	vapor
318.15	45.000	2.1449	0.46623	19.048	21.146	87.037	34.409	57.273	246.34	0.91927	16.914	0.021831	vapor
318.15	50.000	2.4697	0.40490	18.849	20.874	85.499	35.137	61.618	242.45	0.91329	17.181	0.022660	vapor
318.15	55.000	2.8248	0.35400	18.635	20.582	83.986	35.940	66.993	238.44	0.90515	17.507	0.023675	vapor
318.15	60.000	3.2176	0.31079	18.401	20.265	82.471	36.836	73.817	234.31	0.89419	17.908	0.024941	vapor
318.15	65.000	3.6584	0.27334	18.142	19.919	80.924	37.850	82.771	230.05	0.87946	18.410	0.026553	vapor
318.15	70.000	4.1628	0.24022	17.853	19.534	79.311	39.016	95.018	225.66	0.85961	19.050	0.028658	vapor
318.15	75.000	4.7553	0.21029	17.520	19.097	77.584	40.381	112.69	221.15	0.83256	19.894	0.031491	vapor
318.15	75.000	4.7553	0.21029	17.520	19.097	77.584	40.381	112.69	221.15	0.83256	19.894	0.031491	supercritical
318.15	75.000	4.7553	0.21029	17.520	19.097	77.584	40.381	112.69	221.15	0.83256	19.894	0.031491	supercritical
318.15	80.000	5.4772	0.18258	17.126	18.587	75.672	41.999	140.01	216.57	0.79497	21.054	0.035439	supercritical
318.15	85.000	6.4034	0.15617	16.642	17.969	73.464	43.910	185.72	212.18	0.74114	22.758	0.041138	supercritical
318.15	90.000	7.6691	0.13039	16.018	17.191	70.794	45.993	264.39	208.98	0.66163	25.482	0.049335	supercritical
318.15	95.000	9.4197	0.10616	15.226	16.235	67.601	47.426	363.95	210.72	0.55090	30.021	0.059134	supercritical
318.15	100.00	11.321	0.088328	14.443	15.326	64.595	46.891	355.66	224.75	0.42984	36.032	0.064793	supercritical
318.15	105.00	12.742	0.078480	13.890	14.714	62.541	45.448	283.28	247.64	0.33853	41.341	0.066831	supercritical
318.15	110.00	13.705	0.072966	13.521	14.323	61.194	44.266	230.20	270.83	0.27773	45.396	0.068418	supercritical
318.15	115.00	14.403	0.069430	13.252	14.051	60.225	43.449	197.87	291.78	0.23606	48.599	0.070164	supercritical
318.15	120.00	14.945	0.066911	13.042	13.845	59.472	42.873	176.72	310.51	0.20565	51.257	0.071931	supercritical
318.15	125.00	15.388	0.064987	12.869	13.682	58.854	42.446	161.83	327.40	0.18234	53.547	0.073637	supercritical
318.15	130.00	15.761	0.063447	12.722	13.547	58.329	42.113	150.78	342.79	0.16379	55.571	0.075258	supercritical
318.15	135.00	16.085	0.062170	12.593	13.433	57.872	41.843	142.25	356.98	0.14861	57.397	0.076789	supercritical
318.15	140.00	16.371	0.061085	12.479	13.334	57.465	41.619	135.45	370.17	0.13591	59.068	0.078235	supercritical
318.15	145.00	16.627	0.060144	12.375	13.248	57.098	41.429	129.90	382.53	0.12510	60.617	0.079604	supercritical
318.15	150.00	16.859	0.059315	12.281	13.171	56.763	41.266	125.28	394.18	0.11575	62.064	0.080904	supercritical
318.15	155.00	17.072	0.058575	12.194	13.102	56.454	41.125	121.36	405.22	0.10757	63.427	0.082142	supercritical
318.15	160.00	17.268	0.057909	12.113	13.040	56.167	41.001	117.99	415.72	0.10033	64.719	0.083324	supercritical
318.15	165.00	17.451	0.057303	12.038	12.983	55.899	40.892	115.06	425.74	0.093878	65.949	0.084455	supercritical
318.15	170.00	17.622	0.056748	11.967	12.932	55.647	40.796	112.48	435.34	0.088074	67.126	0.085541	supercritical
318.15	175.00	17.782	0.056236	11.900	12.884	55.409	40.711	110.19	444.55	0.082820	68.257	0.086586	supercritical
318.15	180.00	17.933	0.055762	11.837	12.840	55.183	40.636	108.14	453.40	0.078036	69.345	0.087594	supercritical
318.15	185.00	18.077	0.055320	11.776	12.800	54.968	40.568	106.29	461.94	0.073658	70.397	0.088568	supercritical
318.15	190.00	18.213	0.054907	11.719	12.762	54.763	40.508	104.61	470.18	0.069632	71.415	0.089510	supercritical
318.15	195.00	18.342	0.054519	11.664	12.727	54.566	40.455	103.08	478.15	0.065915	72.403	0.090424	supercritical
318.15	200.00	18.466	0.054153	11.611	12.694	54.377	40.407	101.68	485.86	0.062471	73.364	0.091312	supercritical
318.15	205.00	18.585	0.053808	11.560	12.663	54.196	40.365	100.39	493.34	0.059268	74.300	0.092174	supercritical
318.15	210.00	18.698	0.053481	11.511	12.634	54.021	40.326	99.198	500.60	0.056280	75.214	0.093015	supercritical
318.15	215.00	18.808	0.053169	11.464	12.607	53.852	40.292	98.093	507.66	0.053485	76.106	0.093834	supercritical
318.15	220.00	18.913	0.052873	11.419	12.582	53.689	40.262	97.064	514.52	0.050864	76.979	0.094633	supercritical
318.15	225.00	19.015	0.052591	11.375	12.558	53.531	40.235	96.103	521.21	0.048399	77.834	0.095414	supercritical
318.15	230.00	19.113	0.052320	11.332	12.535	53.377	40.210	95.205	527.73	0.046077	78.672	0.096178	supercritical
318.15	235.00	19.208	0.052061	11.290	12.514	53.228	40.189	94.361	534.09	0.043884	79.495	0.096925	supercritical
318.15	240.00	19.300	0.051813	11.250	12.494	53.083	40.170	93.568	540.30	0.041809	80.303	0.097657	supercritical
318.15	245.00	19.389	0.051575	11.211	12.475	52.942	40.153	92.820	546.38	0.039843	81.098	0.098375	supercritical
318.15	250.00	19.476	0.051345	11.173	12.457	52.805	40.138	92.114	552.32	0.037976	81.880	0.099079	supercritical
318.15	255.00	19.560	0.051124	11.136	12.440	52.671	40.124	91.446	558.13	0.036200	82.650	0.099770	supercritical
318.15	260.00	19.642	0.050910	11.100	12.424	52.540	40.112	90.812	563.83	0.034509	83.408	0.10045	supercritical
318.15	265.00	19.722	0.050704	11.065	12.408	52.412	40.102	90.210	569.42	0.032897	84.157	0.10112	supercritical
318.15	270.00	19.800	0.050505	11.030	12.394	52.287	40.093	89.638	574.90	0.031357	84.895	0.10177	supercritical
318.15	275.00	19.876	0.050312	10.997	12.380	52.165	40.086	89.092	580.27	0.029884	85.623	0.10242	supercritical
318.15	280.00	19.950	0.050125	10.964	12.367	52.046	40.079	88.572	585.56	0.028474	86.342	0.10305	supercritical
318.15	285.00	20.022	0.049944	10.932	12.355	51.928	40.074	88.075	590.75	0.027123	87.053	0.10368	supercritical
318.15	290.00	20.093	0.049768	10.900	12.343	51.813	40.069	87.600	595.85	0.025827	87.756	0.10429	supercritical
318.15	295.00	20.162	0.049597	10.869	12.332	51.701	40.066	87.145	600.87	0.024582	88.451	0.10490	supercritical
318.15	300.00	20.230	0.049431	10.839	12.322	51.590	40.063	86.709	605.80	0.023385	89.138	0.10550	supercritical
318.15	305.00	20.296	0.049270	10.809	12.312	51.482	40.061	86.291	610.67	0.022233	89.818	0.10609	supercritical
318.15	310.00	20.361	0.049112	10.780	12.303	51.375	40.059	85.889	615.45	0.021124	90.492	0.10667	supercritical
318.15	315.00	20.425	0.048959	10.752	12.294	51.270	40.059	85.503	620.17	0.020055	91.159	0.10725	supercritical
318.15	320.00	20.488	0.048810	10.724	12.286	51.167	40.058	85.131	624.82	0.019024	91.819	0.10782	supercritical
318.15	325.00	20.549	0.048665	10.696	12.278	51.066	40.059	84.772	629.40	0.018028	92.474	0.10838	supercritical
318.15	330.00	20.609	0.048523	10.669	12.270	50.966	40.060	84.427	633.93	0.017066	93.123	0.10893	supercritical
318.15	335.00	20.668	0.048384	10.642	12.263	50.868	40.061	84.094	638.39	0.016137	93.767	0.10948	supercritical
318.15	340.00	20.726	0.048249	10.616	12.257	50.771	40.063	83.772	642.79	0.015237	94.405	0.11002	supercritical
318.15	345.00	20.783	0.048116	10.591	12.251	50.676	40.065	83.461	647.14	0.014367	95.038	0.11056	supercritical
318.15	350.00	20.839	0.047987	10.565	12.245	50.582	40.067	83.161	651.43	0.013523	95.666	0.11109	supercritical
318.15	355.00	20.894	0.047860	10.540	12.239	50.490	40.070	82.870	655.67	0.012706	96.290	0.11161	supercritical
318.15	360.00	20.948	0.047736	10.516	12.234	50.399	40.074	82.588	659.86	0.011913	96.909	0.11213	supercritical
318.15	365.00	21.002	0.047615	10.492	12.229	50.309	40.077	82.316	664.00	0.011144	97.523	0.11265	supercritical
318.15	370.00	21.054	0.047496	10.468	12.225	50.220	40.081	82.051	668.10	0.010398	98.134	0.11315	supercritical
318.15	375.00	21.106	0.047380	10.444	12.221	50.133	40.085	81.795	672.15	0.0096728	98.740	0.11366	supercritical
318.15	380.00	21.157	0.047266	10.421	12.217	50.047	40.090	81.546	676.15	0.0089682	99.342	0.11416	supercritical
318.15	385.00	21.207	0.047154	10.398	12.214	49.961	40.094	81.304	680.11	0.0082832	99.940	0.11465	supercritical
318.15	390.00	21.256	0.047045	10.376	12.210	49.877	40.099	81.070	684.03	0.0076170	100.53	0.11514	supercritical
318.15	395.00	21.305	0.046937	10.353	12.207	49.794	40.104	80.842	687.91	0.0069688	101.13	0.11562	supercritical
318.15	400.00	21.353	0.046831	10.332	12.205	49.712	40.110	80.620	691.74	0.0063377	101.71	0.11610	supercritical
318.15	405.00	21.401	0.046728	10.310	12.202	49.631	40.115	80.404	695.54	0.0057231	102.30	0.11658	supercritical
318.15	410.00	21.447	0.046626	10.289	12.200	49.551	40.121	80.194	699.31	0.0051244	102.88	0.11705	supercritical
318.15	415.00	21.494	0.046526	10.267	12.198	49.471	40.127	79.989	703.03	0.0045408	103.45	0.11752	supercritical
318.15	420.00	21.539	0.046427	10.247	12.197	49.393	40.133	79.790	706.72	0.0039718	104.03	0.11798	supercritical
318.15	425.00	21.584	0.046331	10.226	12.195	49.315	40.139	79.596	710.38	0.0034169	104.60	0.11844	supercritical
318.15	430.00	21.628	0.046236	10.206	12.194	49.239	40.145	79.406	714.00	0.0028754	105.17	0.11890	supercritical
318.15	435.00	21.672	0.046142	10.186	12.193	49.163	40.152	79.222	717.59	0.0023470	105.73	0.11935	supercritical
318.15	440.00	21.715	0.046050	10.166	12.192	49.088	40.158	79.042	721.15	0.0018310	106.30	0.11980	supercritical
318.15	445.00	21.758	0.045960	10.146	12.191	49.014	40.165	78.866	724.67	0.0013271	106.86	0.12024	supercritical
318.15	450.00	21.800	0.045871	10.127	12.191	48.940	40.172	78.694	728.17	0.00083482	107.41	0.12068	supercritical
318.15	455.00	21.842	0.045783	10.108	12.191	48.867	40.179	78.527	731.63	0.00035374	107.97	0.12112	supercritical
318.15	460.00	21.883	0.045697	10.089	12.191	48.795	40.186	78.363	735.07	-0.00011654	108.52	0.12156	supercritical
318.15	465.00	21.924	0.045612	10.070	12.191	48.724	40.193	78.203	738.47	-0.00057639	109.07	0.12199	supercritical
318.15	470.00	21.964	0.045528	10.051	12.191	48.653	40.201	78.046	741.85	-0.0010261	109.62	0.12242	supercritical
318.15	475.00	22.004	0.045446	10.033	12.192	48.583	40.208	77.893	745.20	-0.0014662	110.16	0.12284	supercritical
318.15	480.00	22.044	0.045364	10.015	12.192	48.514	40.216	77.744	748.53	-0.0018968	110.71	0.12327	supercritical
318.15	485.00	22.083	0.045284	9.9967	12.193	48.446	40.223	77.597	751.83	-0.0023183	111.25	0.12369	supercritical
318.15	490.00	22.121	0.045205	9.9789	12.194	48.377	40.231	77.454	755.10	-0.0027310	111.79	0.12410	supercritical
318.15	495.00	22.159	0.045128	9.9613	12.195	48.310	40.238	77.314	758.35	-0.0031351	112.32	0.12452	supercritical
