Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
318.15	5.0000	0.19030	5.2549	12.639	15.266	96.023	28.254	36.900	460.93	0.37936	11.870	0.037379	vapor
318.15	10.000	0.38317	2.6098	12.586	15.196	90.096	28.320	37.309	459.86	0.37641	11.936	0.037693	vapor
318.15	15.000	0.57861	1.7283	12.533	15.126	86.559	28.386	37.730	458.88	0.37331	12.008	0.038018	vapor
318.15	20.000	0.77662	1.2876	12.480	15.055	84.001	28.452	38.163	458.00	0.37003	12.087	0.038356	vapor
318.15	25.000	0.97719	1.0233	12.426	14.984	81.978	28.518	38.607	457.21	0.36658	12.172	0.038708	vapor
318.15	30.000	1.1803	0.84725	12.372	14.914	80.294	28.583	39.062	456.53	0.36295	12.262	0.039074	vapor
318.15	35.000	1.3859	0.72155	12.317	14.843	78.843	28.649	39.530	455.95	0.35912	12.358	0.039456	vapor
318.15	40.000	1.5940	0.62735	12.262	14.772	77.563	28.714	40.008	455.49	0.35510	12.460	0.039853	vapor
318.15	45.000	1.8045	0.55417	12.207	14.701	76.414	28.778	40.496	455.15	0.35088	12.568	0.040266	vapor
318.15	50.000	2.0174	0.49569	12.151	14.630	75.367	28.842	40.995	454.94	0.34645	12.681	0.040697	vapor
318.15	50.000	2.0174	0.49569	12.151	14.630	75.367	28.842	40.995	454.94	0.34645	12.681	0.040697	supercritical
318.15	50.000	2.0174	0.49569	12.151	14.630	75.367	28.842	40.995	454.94	0.34645	12.681	0.040697	supercritical
318.15	55.000	2.2325	0.44792	12.095	14.559	74.404	28.905	41.503	454.87	0.34181	12.801	0.041145	supercritical
318.15	60.000	2.4499	0.40818	12.039	14.488	73.509	28.968	42.019	454.93	0.33695	12.926	0.041610	supercritical
318.15	65.000	2.6694	0.37462	11.982	14.417	72.673	29.030	42.543	455.14	0.33189	13.057	0.042094	supercritical
318.15	70.000	2.8909	0.34592	11.925	14.347	71.886	29.091	43.073	455.50	0.32663	13.194	0.042596	supercritical
318.15	75.000	3.1142	0.32111	11.868	14.276	71.141	29.151	43.608	456.02	0.32116	13.337	0.043116	supercritical
318.15	80.000	3.3392	0.29947	11.811	14.207	70.435	29.210	44.147	456.70	0.31549	13.486	0.043656	supercritical
318.15	85.000	3.5658	0.28044	11.753	14.137	69.761	29.267	44.687	457.55	0.30964	13.641	0.044213	supercritical
318.15	90.000	3.7938	0.26359	11.696	14.068	69.117	29.324	45.228	458.57	0.30361	13.802	0.044790	supercritical
318.15	95.000	4.0229	0.24858	11.638	14.000	68.500	29.379	45.768	459.78	0.29742	13.968	0.045384	supercritical
318.15	100.00	4.2531	0.23513	11.581	13.932	67.907	29.433	46.304	461.16	0.29107	14.141	0.045996	supercritical
318.15	105.00	4.4840	0.22302	11.523	13.865	67.337	29.485	46.835	462.73	0.28458	14.319	0.046626	supercritical
318.15	110.00	4.7154	0.21207	11.466	13.799	66.787	29.536	47.359	464.49	0.27798	14.503	0.047272	supercritical
318.15	115.00	4.9471	0.20214	11.409	13.733	66.256	29.585	47.875	466.44	0.27127	14.693	0.047933	supercritical
318.15	120.00	5.1789	0.19309	11.352	13.669	65.743	29.633	48.379	468.58	0.26447	14.888	0.048609	supercritical
318.15	125.00	5.4105	0.18482	11.295	13.606	65.246	29.679	48.871	470.91	0.25761	15.089	0.049299	supercritical
318.15	130.00	5.6417	0.17725	11.239	13.543	64.766	29.723	49.349	473.43	0.25070	15.294	0.050001	supercritical
318.15	135.00	5.8722	0.17029	11.183	13.482	64.300	29.766	49.811	476.14	0.24375	15.505	0.050714	supercritical
318.15	140.00	6.1017	0.16389	11.127	13.422	63.849	29.807	50.255	479.04	0.23679	15.720	0.051436	supercritical
318.15	145.00	6.3301	0.15798	11.072	13.363	63.411	29.846	50.681	482.12	0.22984	15.939	0.052167	supercritical
318.15	150.00	6.5570	0.15251	11.018	13.305	62.986	29.884	51.086	485.38	0.22291	16.163	0.052905	supercritical
318.15	155.00	6.7823	0.14744	10.964	13.249	62.573	29.920	51.471	488.83	0.21602	16.390	0.053648	supercritical
318.15	160.00	7.0057	0.14274	10.910	13.194	62.173	29.955	51.834	492.44	0.20918	16.621	0.054395	supercritical
318.15	165.00	7.2270	0.13837	10.858	13.141	61.784	29.988	52.175	496.23	0.20241	16.855	0.055145	supercritical
318.15	170.00	7.4461	0.13430	10.805	13.089	61.406	30.020	52.494	500.17	0.19572	17.093	0.055896	supercritical
318.15	175.00	7.6627	0.13050	10.754	13.038	61.039	30.050	52.789	504.27	0.18912	17.333	0.056647	supercritical
318.15	180.00	7.8767	0.12696	10.703	12.989	60.682	30.079	53.062	508.52	0.18263	17.575	0.057397	supercritical
318.15	185.00	8.0879	0.12364	10.654	12.941	60.335	30.107	53.311	512.91	0.17625	17.820	0.058144	supercritical
318.15	190.00	8.2962	0.12054	10.605	12.895	59.998	30.133	53.539	517.43	0.17000	18.066	0.058888	supercritical
318.15	195.00	8.5015	0.11763	10.556	12.850	59.670	30.159	53.744	522.08	0.16387	18.314	0.059629	supercritical
318.15	200.00	8.7037	0.11489	10.509	12.807	59.351	30.183	53.929	526.85	0.15788	18.563	0.060364	supercritical
318.15	205.00	8.9027	0.11233	10.462	12.765	59.041	30.207	54.092	531.73	0.15202	18.813	0.061094	supercritical
318.15	210.00	9.0985	0.10991	10.416	12.724	58.739	30.229	54.236	536.72	0.14632	19.064	0.061818	supercritical
318.15	215.00	9.2909	0.10763	10.371	12.685	58.446	30.251	54.362	541.79	0.14076	19.316	0.062536	supercritical
318.15	220.00	9.4800	0.10548	10.327	12.648	58.160	30.271	54.469	546.96	0.13535	19.567	0.063247	supercritical
318.15	225.00	9.6658	0.10346	10.284	12.612	57.883	30.291	54.559	552.21	0.13009	19.819	0.063950	supercritical
318.15	230.00	9.8482	0.10154	10.241	12.577	57.612	30.311	54.633	557.53	0.12498	20.070	0.064647	supercritical
318.15	235.00	10.027	0.099728	10.200	12.543	57.349	30.329	54.693	562.92	0.12002	20.322	0.065336	supercritical
318.15	240.00	10.203	0.098011	10.159	12.511	57.092	30.347	54.739	568.37	0.11521	20.572	0.066018	supercritical
318.15	245.00	10.375	0.096382	10.119	12.480	56.842	30.365	54.772	573.87	0.11055	20.822	0.066692	supercritical
318.15	250.00	10.544	0.094837	10.080	12.451	56.599	30.382	54.793	579.41	0.10603	21.071	0.067359	supercritical
