exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
1,0.1,10,45,34,1000,1000000,100000
2,0.2,10,45,34,1000,1000000,100000
3,0.3,10,45,34,1000,1000000,100000
4,0.4,10,45,34,1000,1000000,100000
5,0.5,10,45,34,1000,1000000,100000
6,0.6,10,45,34,1000,1000000,100000
7,0.7,10,45,34,1000,1000000,100000
8,0.8,10,45,34,1000,1000000,100000
9,0.9,10,45,34,1000,1000000,100000
10,0.1,20,45,34,1000,1000000,100000
11,0.2,20,45,34,1000,1000000,100000
12,0.3,20,45,34,1000,1000000,100000
13,0.4,20,45,34,1000,1000000,100000
14,0.5,20,45,34,1000,1000000,100000
15,0.6,20,45,34,1000,1000000,100000
16,0.7,20,45,34,1000,1000000,100000
17,0.8,20,45,34,1000,1000000,100000
18,0.9,20,45,34,1000,1000000,100000
19,0.1,30,45,34,1000,1000000,100000
20,0.2,30,45,34,1000,1000000,100000
21,0.3,30,45,34,1000,1000000,100000
22,0.4,30,45,34,1000,1000000,100000
23,0.5,30,45,34,1000,1000000,100000
24,0.6,30,45,34,1000,1000000,100000
25,0.7,30,45,34,1000,1000000,100000
26,0.8,30,45,34,1000,1000000,100000
27,0.9,30,45,34,1000,1000000,100000
28,0.1,40,45,34,1000,1000000,100000
29,0.2,40,45,34,1000,1000000,100000
30,0.3,40,45,34,1000,1000000,100000
31,0.4,40,45,34,1000,1000000,100000
32,0.5,40,45,34,1000,1000000,100000
33,0.6,40,45,34,1000,1000000,100000
34,0.7,40,45,34,1000,1000000,100000
35,0.8,40,45,34,1000,1000000,100000
36,0.9,40,45,34,1000,1000000,100000
37,0.1,50,45,34,1000,1000000,100000
38,0.2,50,45,34,1000,1000000,100000
39,0.3,50,45,34,1000,1000000,100000
40,0.4,50,45,34,1000,1000000,100000
41,0.5,50,45,34,1000,1000000,100000
42,0.6,50,45,34,1000,1000000,100000
43,0.7,50,45,34,1000,1000000,100000
44,0.8,50,45,34,1000,1000000,100000
45,0.9,50,45,34,1000,1000000,100000
46,0.1,60,45,34,1000,1000000,100000
47,0.2,60,45,34,1000,1000000,100000
48,0.3,60,45,34,1000,1000000,100000
49,0.4,60,45,34,1000,1000000,100000
50,0.5,60,45,34,1000,1000000,100000
51,0.6,60,45,34,1000,1000000,100000
52,0.7,60,45,34,1000,1000000,100000
53,0.8,60,45,34,1000,1000000,100000
54,0.9,60,45,34,1000,1000000,100000
55,0.1,70,45,34,1000,1000000,100000
56,0.2,70,45,34,1000,1000000,100000
57,0.3,70,45,34,1000,1000000,100000
58,0.4,70,45,34,1000,1000000,100000
59,0.5,70,45,34,1000,1000000,100000
60,0.6,70,45,34,1000,1000000,100000
61,0.7,70,45,34,1000,1000000,100000
62,0.8,70,45,34,1000,1000000,100000
63,0.9,70,45,34,1000,1000000,100000
64,0.1,80,45,34,1000,1000000,100000
65,0.2,80,45,34,1000,1000000,100000
66,0.3,80,45,34,1000,1000000,100000
67,0.4,80,45,34,1000,1000000,100000
68,0.5,80,45,34,1000,1000000,100000
69,0.6,80,45,34,1000,1000000,100000
70,0.7,80,45,34,1000,1000000,100000
71,0.8,80,45,34,1000,1000000,100000
72,0.9,80,45,34,1000,1000000,100000
73,0.1,90,45,34,1000,1000000,100000
74,0.2,90,45,34,1000,1000000,100000
75,0.3,90,45,34,1000,1000000,100000
76,0.4,90,45,34,1000,1000000,100000
77,0.5,90,45,34,1000,1000000,100000
78,0.6,90,45,34,1000,1000000,100000
79,0.7,90,45,34,1000,1000000,100000
80,0.8,90,45,34,1000,1000000,100000
81,0.9,90,45,34,1000,1000000,100000
82,0.1,100,45,34,1000,1000000,100000
83,0.2,100,45,34,1000,1000000,100000
84,0.3,100,45,34,1000,1000000,100000
85,0.4,100,45,34,1000,1000000,100000
86,0.5,100,45,34,1000,1000000,100000
87,0.6,100,45,34,1000,1000000,100000
88,0.7,100,45,34,1000,1000000,100000
89,0.8,100,45,34,1000,1000000,100000
90,0.9,100,45,34,1000,1000000,100000
91,0.1,110,45,34,1000,1000000,100000
92,0.2,110,45,34,1000,1000000,100000
93,0.3,110,45,34,1000,1000000,100000
94,0.4,110,45,34,1000,1000000,100000
95,0.5,110,45,34,1000,1000000,100000
96,0.6,110,45,34,1000,1000000,100000
97,0.7,110,45,34,1000,1000000,100000
98,0.8,110,45,34,1000,1000000,100000
99,0.9,110,45,34,1000,1000000,100000
100,0.1,120,45,34,1000,1000000,100000
101,0.2,120,45,34,1000,1000000,100000
102,0.3,120,45,34,1000,1000000,100000
103,0.4,120,45,34,1000,1000000,100000
104,0.5,120,45,34,1000,1000000,100000
105,0.6,120,45,34,1000,1000000,100000
106,0.7,120,45,34,1000,1000000,100000
107,0.8,120,45,34,1000,1000000,100000
108,0.9,120,45,34,1000,1000000,100000
109,0.1,130,45,34,1000,1000000,100000
110,0.2,130,45,34,1000,1000000,100000
111,0.3,130,45,34,1000,1000000,100000
112,0.4,130,45,34,1000,1000000,100000
113,0.5,130,45,34,1000,1000000,100000
114,0.6,130,45,34,1000,1000000,100000
115,0.7,130,45,34,1000,1000000,100000
116,0.8,130,45,34,1000,1000000,100000
117,0.9,130,45,34,1000,1000000,100000
118,0.1,140,45,34,1000,1000000,100000
119,0.2,140,45,34,1000,1000000,100000
120,0.3,140,45,34,1000,1000000,100000
121,0.4,140,45,34,1000,1000000,100000
122,0.5,140,45,34,1000,1000000,100000
123,0.6,140,45,34,1000,1000000,100000
124,0.7,140,45,34,1000,1000000,100000
125,0.8,140,45,34,1000,1000000,100000
126,0.9,140,45,34,1000,1000000,100000
127,0.1,150,45,34,1000,1000000,100000
128,0.2,150,45,34,1000,1000000,100000
129,0.3,150,45,34,1000,1000000,100000
130,0.4,150,45,34,1000,1000000,100000
131,0.5,150,45,34,1000,1000000,100000
132,0.6,150,45,34,1000,1000000,100000
133,0.7,150,45,34,1000,1000000,100000
134,0.8,150,45,34,1000,1000000,100000
135,0.9,150,45,34,1000,1000000,100000
136,0.1,160,45,34,1000,1000000,100000
137,0.2,160,45,34,1000,1000000,100000
138,0.3,160,45,34,1000,1000000,100000
139,0.4,160,45,34,1000,1000000,100000
140,0.5,160,45,34,1000,1000000,100000
141,0.6,160,45,34,1000,1000000,100000
142,0.7,160,45,34,1000,1000000,100000
143,0.8,160,45,34,1000,1000000,100000
144,0.9,160,45,34,1000,1000000,100000
145,0.1,170,45,34,1000,1000000,100000
146,0.2,170,45,34,1000,1000000,100000
147,0.3,170,45,34,1000,1000000,100000
148,0.4,170,45,34,1000,1000000,100000
149,0.5,170,45,34,1000,1000000,100000
150,0.6,170,45,34,1000,1000000,100000
151,0.7,170,45,34,1000,1000000,100000
152,0.8,170,45,34,1000,1000000,100000
153,0.9,170,45,34,1000,1000000,100000
154,0.1,180,45,34,1000,1000000,100000
155,0.2,180,45,34,1000,1000000,100000
156,0.3,180,45,34,1000,1000000,100000
157,0.4,180,45,34,1000,1000000,100000
158,0.5,180,45,34,1000,1000000,100000
159,0.6,180,45,34,1000,1000000,100000
160,0.7,180,45,34,1000,1000000,100000
161,0.8,180,45,34,1000,1000000,100000
162,0.9,180,45,34,1000,1000000,100000
163,0.1,190,45,34,1000,1000000,100000
164,0.2,190,45,34,1000,1000000,100000
165,0.3,190,45,34,1000,1000000,100000
166,0.4,190,45,34,1000,1000000,100000
167,0.5,190,45,34,1000,1000000,100000
168,0.6,190,45,34,1000,1000000,100000
169,0.7,190,45,34,1000,1000000,100000
170,0.8,190,45,34,1000,1000000,100000
171,0.9,190,45,34,1000,1000000,100000
172,0.1,200,45,34,1000,1000000,100000
173,0.2,200,45,34,1000,1000000,100000
174,0.3,200,45,34,1000,1000000,100000
175,0.4,200,45,34,1000,1000000,100000
176,0.5,200,45,34,1000,1000000,100000
177,0.6,200,45,34,1000,1000000,100000
178,0.7,200,45,34,1000,1000000,100000
179,0.8,200,45,34,1000,1000000,100000
180,0.9,200,45,34,1000,1000000,100000
181,0.1,10,30,34,1000,1000000,100000
182,0.2,10,30,34,1000,1000000,100000
183,0.3,10,30,34,1000,1000000,100000
184,0.4,10,30,34,1000,1000000,100000
185,0.5,10,30,34,1000,1000000,100000
186,0.6,10,30,34,1000,1000000,100000
187,0.7,10,30,34,1000,1000000,100000
188,0.8,10,30,34,1000,1000000,100000
189,0.9,10,30,34,1000,1000000,100000
190,0.1,20,30,34,1000,1000000,100000
191,0.2,20,30,34,1000,1000000,100000
192,0.3,20,30,34,1000,1000000,100000
193,0.4,20,30,34,1000,1000000,100000
194,0.5,20,30,34,1000,1000000,100000
195,0.6,20,30,34,1000,1000000,100000
196,0.7,20,30,34,1000,1000000,100000
197,0.8,20,30,34,1000,1000000,100000
198,0.9,20,30,34,1000,1000000,100000
199,0.1,30,30,34,1000,1000000,100000
200,0.2,30,30,34,1000,1000000,100000
201,0.3,30,30,34,1000,1000000,100000
202,0.4,30,30,34,1000,1000000,100000
203,0.5,30,30,34,1000,1000000,100000
204,0.6,30,30,34,1000,1000000,100000
205,0.7,30,30,34,1000,1000000,100000
206,0.8,30,30,34,1000,1000000,100000
207,0.9,30,30,34,1000,1000000,100000
208,0.1,40,30,34,1000,1000000,100000
209,0.2,40,30,34,1000,1000000,100000
210,0.3,40,30,34,1000,1000000,100000
211,0.4,40,30,34,1000,1000000,100000
212,0.5,40,30,34,1000,1000000,100000
213,0.6,40,30,34,1000,1000000,100000
214,0.7,40,30,34,1000,1000000,100000
215,0.8,40,30,34,1000,1000000,100000
216,0.9,40,30,34,1000,1000000,100000
217,0.1,50,30,34,1000,1000000,100000
218,0.2,50,30,34,1000,1000000,100000
219,0.3,50,30,34,1000,1000000,100000
220,0.4,50,30,34,1000,1000000,100000
221,0.5,50,30,34,1000,1000000,100000
222,0.6,50,30,34,1000,1000000,100000
223,0.7,50,30,34,1000,1000000,100000
224,0.8,50,30,34,1000,1000000,100000
225,0.9,50,30,34,1000,1000000,100000
226,0.1,60,30,34,1000,1000000,100000
227,0.2,60,30,34,1000,1000000,100000
228,0.3,60,30,34,1000,1000000,100000
229,0.4,60,30,34,1000,1000000,100000
230,0.5,60,30,34,1000,1000000,100000
231,0.6,60,30,34,1000,1000000,100000
232,0.7,60,30,34,1000,1000000,100000
233,0.8,60,30,34,1000,1000000,100000
234,0.9,60,30,34,1000,1000000,100000
235,0.1,70,30,34,1000,1000000,100000
236,0.2,70,30,34,1000,1000000,100000
237,0.3,70,30,34,1000,1000000,100000
238,0.4,70,30,34,1000,1000000,100000
239,0.5,70,30,34,1000,1000000,100000
240,0.6,70,30,34,1000,1000000,100000
241,0.7,70,30,34,1000,1000000,100000
242,0.8,70,30,34,1000,1000000,100000
243,0.9,70,30,34,1000,1000000,100000
244,0.1,80,30,34,1000,1000000,100000
245,0.2,80,30,34,1000,1000000,100000
246,0.3,80,30,34,1000,1000000,100000
247,0.4,80,30,34,1000,1000000,100000
248,0.5,80,30,34,1000,1000000,100000
249,0.6,80,30,34,1000,1000000,100000
250,0.7,80,30,34,1000,1000000,100000
251,0.8,80,30,34,1000,1000000,100000
252,0.9,80,30,34,1000,1000000,100000
253,0.1,90,30,34,1000,1000000,100000
254,0.2,90,30,34,1000,1000000,100000
255,0.3,90,30,34,1000,1000000,100000
256,0.4,90,30,34,1000,1000000,100000
257,0.5,90,30,34,1000,1000000,100000
258,0.6,90,30,34,1000,1000000,100000
259,0.7,90,30,34,1000,1000000,100000
260,0.8,90,30,34,1000,1000000,100000
261,0.9,90,30,34,1000,1000000,100000
262,0.1,100,30,34,1000,1000000,100000
263,0.2,100,30,34,1000,1000000,100000
264,0.3,100,30,34,1000,1000000,100000
265,0.4,100,30,34,1000,1000000,100000
266,0.5,100,30,34,1000,1000000,100000
267,0.6,100,30,34,1000,1000000,100000
268,0.7,100,30,34,1000,1000000,100000
269,0.8,100,30,34,1000,1000000,100000
270,0.9,100,30,34,1000,1000000,100000
271,0.1,110,30,34,1000,1000000,100000
272,0.2,110,30,34,1000,1000000,100000
273,0.3,110,30,34,1000,1000000,100000
274,0.4,110,30,34,1000,1000000,100000
275,0.5,110,30,34,1000,1000000,100000
276,0.6,110,30,34,1000,1000000,100000
277,0.7,110,30,34,1000,1000000,100000
278,0.8,110,30,34,1000,1000000,100000
279,0.9,110,30,34,1000,1000000,100000
280,0.1,120,30,34,1000,1000000,100000
281,0.2,120,30,34,1000,1000000,100000
282,0.3,120,30,34,1000,1000000,100000
283,0.4,120,30,34,1000,1000000,100000
284,0.5,120,30,34,1000,1000000,100000
285,0.6,120,30,34,1000,1000000,100000
286,0.7,120,30,34,1000,1000000,100000
287,0.8,120,30,34,1000,1000000,100000
288,0.9,120,30,34,1000,1000000,100000
289,0.1,130,30,34,1000,1000000,100000
290,0.2,130,30,34,1000,1000000,100000
291,0.3,130,30,34,1000,1000000,100000
292,0.4,130,30,34,1000,1000000,100000
293,0.5,130,30,34,1000,1000000,100000
294,0.6,130,30,34,1000,1000000,100000
295,0.7,130,30,34,1000,1000000,100000
296,0.8,130,30,34,1000,1000000,100000
297,0.9,130,30,34,1000,1000000,100000
298,0.1,140,30,34,1000,1000000,100000
299,0.2,140,30,34,1000,1000000,100000
300,0.3,140,30,34,1000,1000000,100000
301,0.4,140,30,34,1000,1000000,100000
302,0.5,140,30,34,1000,1000000,100000
303,0.6,140,30,34,1000,1000000,100000
304,0.7,140,30,34,1000,1000000,100000
305,0.8,140,30,34,1000,1000000,100000
306,0.9,140,30,34,1000,1000000,100000
307,0.1,150,30,34,1000,1000000,100000
308,0.2,150,30,34,1000,1000000,100000
