exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod
1,0.2,177.2,-23.09099999999998,34,1000,1000000,100000
2,0.2,170.09,-23.08899999999997,34,1000,1000000,100000
3,0.2,160.01000000000002,-23.087999999999965,34,1000,1000000,100000
4,0.2,149.59,-23.08899999999997,34,1000,1000000,100000
5,0.2,141.29,-23.08699999999999,34,1000,1000000,100000
6,0.2,118.03,-23.109999999999985,34,1000,1000000,100000
7,0.2,110.00999999999999,-23.107999999999976,34,1000,1000000,100000
8,0.2,100.00999999999999,-23.105999999999966,34,1000,1000000,100000
9,0.2,90.02000000000001,-23.10899999999998,34,1000,1000000,100000
10,0.2,79.99,-23.11099999999999,34,1000,1000000,100000
11,0.2,69.99,-23.10899999999998,34,1000,1000000,100000
12,0.2,60,-23.11099999999999,34,1000,1000000,100000
13,0.2,49.989999999999995,-23.113999999999976,34,1000,1000000,100000
14,0.2,39.97,-23.103999999999985,34,1000,1000000,100000
15,0.2,29.990000000000002,-23.09699999999998,34,1000,1000000,100000
16,0.2,20.04,-23.09699999999998,34,1000,1000000,100000
17,0.2,9.96,-23.09699999999998,34,1000,1000000,100000
18,0.2,199.56,1.8670000000000186,34,1000,1000000,100000
19,0.2,190.01000000000002,1.8660000000000423,34,1000,1000000,100000
20,0.2,179.86,1.8640000000000327,34,1000,1000000,100000
21,0.2,170.07999999999998,1.8610000000000468,34,1000,1000000,100000
22,0.2,160.04999999999998,1.8590000000000373,34,1000,1000000,100000
23,0.2,150.03,1.8590000000000373,34,1000,1000000,100000
24,0.2,140.03,1.8590000000000373,34,1000,1000000,100000
25,0.2,130.02,1.858000000000004,34,1000,1000000,100000
26,0.2,120.02000000000001,1.8590000000000373,34,1000,1000000,100000
27,0.2,110,1.8590000000000373,34,1000,1000000,100000
28,0.2,100.03,1.8590000000000373,34,1000,1000000,100000
29,0.2,90.19999999999999,1.8590000000000373,34,1000,1000000,100000
30,0.2,81.07,1.8590000000000373,34,1000,1000000,100000
31,0.2,71.06,1.8570000000000277,34,1000,1000000,100000
32,0.2,60.08,1.8540000000000418,34,1000,1000000,100000
33,0.2,50.010000000000005,1.8550000000000182,34,1000,1000000,100000
34,0.2,40.17,1.8540000000000418,34,1000,1000000,100000
35,0.2,29.990000000000002,1.8559999999999945,34,1000,1000000,100000
36,0.2,19.9,1.8540000000000418,34,1000,1000000,100000
37,0.2,9.91,1.8540000000000418,34,1000,1000000,100000
38,0.2,199.13,26.80000000000001,34,1000,1000000,100000
39,0.2,189.95999999999998,26.80200000000002,34,1000,1000000,100000
40,0.2,179.98000000000002,26.807000000000016,34,1000,1000000,100000
41,0.2,169.1,26.809000000000026,34,1000,1000000,100000
42,0.2,161.23000000000002,26.80800000000005,34,1000,1000000,100000
43,0.2,149.99,26.810000000000002,34,1000,1000000,100000
44,0.2,141.13,26.809000000000026,34,1000,1000000,100000
45,0.2,130.84,26.811000000000035,34,1000,1000000,100000
46,0.2,119.99000000000001,26.81400000000002,34,1000,1000000,100000
47,0.2,109.99000000000001,26.817000000000007,34,1000,1000000,100000
