T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0.25,0.24187441838724896,10.429317001280182,-14.709659830919156,6.0990394493021255e-05,0.0001911668815830854,0.05895088994872358,1.423425901914139,1.9345618024207035e-05,2.4056449548935537e-05,4.515323223365385,84.69325304031372
30.0,20.0,0.25,0.23372706090256085,18.88706276758518,-28.13910671170665,0.0001116700028891671,0.00036610951676911295,0.04153089560666917,1.8661737242979857,2.043032695779244e-05,4.336929164112092e-05,4.825940160501931,168.06264472007751
30.0,30.0,0.25,,,,,,,,,,,
30.0,40.0,0.25,,,,,,,,,,,
30.0,50.0,0.25,,,,,,,,,,,
30.0,60.0,0.25,,,,,,,,,,,
30.0,70.0,0.25,,,,,,,,,,,
30.0,80.0,0.25,,,,,,,,,,,
30.0,90.0,0.25,,,,,,,,,,,
30.0,100.0,0.25,,,,,,,,,,,
30.0,110.0,0.25,,,,,,,,,,,
30.0,120.0,0.25,,,,,,,,,,,
30.0,130.0,0.25,,,,,,,,,,,
30.0,140.0,0.25,,,,,,,,,,,
30.0,150.0,0.25,,,,,,,,,,,
30.0,160.0,0.25,,,,,,,,,,,
30.0,170.0,0.25,,,,,,,,,,,
30.0,180.0,0.25,,,,,,,,,,,
30.0,190.0,0.25,,,,,,,,,,,
30.0,200.0,0.25,,,,,,,,,,,
45.0,10.0,0.25,,,,,,,,,,,
45.0,20.0,0.25,,,,,,,,,,,
45.0,30.0,0.25,,,,,,,,,,,
45.0,40.0,0.25,,,,,,,,,,,
45.0,50.0,0.25,,,,,,,,,,,
45.0,60.0,0.25,,,,,,,,,,,
45.0,70.0,0.25,,,,,,,,,,,
45.0,80.0,0.25,,,,,,,,,,,
45.0,90.0,0.25,,,,,,,,,,,
45.0,100.0,0.25,,,,,,,,,,,
45.0,110.0,0.25,,,,,,,,,,,
45.0,120.0,0.25,,,,,,,,,,,
45.0,130.0,0.25,,,,,,,,,,,
45.0,140.0,0.25,,,,,,,,,,,
45.0,150.0,0.25,,,,,,,,,,,
45.0,160.0,0.25,,,,,,,,,,,
45.0,170.0,0.25,,,,,,,,,,,
45.0,180.0,0.25,,,,,,,,,,,
45.0,190.0,0.25,,,,,,,,,,,
45.0,200.0,0.25,,,,,,,,,,,
60.0,10.0,0.25,,,,,,,,,,,
60.0,20.0,0.25,,,,,,,,,,,
60.0,30.0,0.25,,,,,,,,,,,
60.0,40.0,0.25,,,,,,,,,,,
60.0,50.0,0.25,,,,,,,,,,,
60.0,60.0,0.25,,,,,,,,,,,
60.0,70.0,0.25,,,,,,,,,,,
60.0,80.0,0.25,,,,,,,,,,,
60.0,90.0,0.25,,,,,,,,,,,
60.0,100.0,0.25,,,,,,,,,,,
60.0,110.0,0.25,,,,,,,,,,,
60.0,120.0,0.25,,,,,,,,,,,
60.0,130.0,0.25,,,,,,,,,,,
60.0,140.0,0.25,,,,,,,,,,,
60.0,150.0,0.25,,,,,,,,,,,
60.0,160.0,0.25,,,,,,,,,,,
60.0,170.0,0.25,,,,,,,,,,,
60.0,180.0,0.25,,,,,,,,,,,
60.0,190.0,0.25,,,,,,,,,,,
60.0,200.0,0.25,,,,,,,,,,,
