T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0.5,0.5102971387377186,10.027404162976056,-16.524420042643325,0.00012362817895,0.0001186388642394,0.0671198476648981,1.5312660924763248,2.075133645320096e-05,2.560987085622584e-05,5.759312513074412,63.464235067367554
30.0,10.0,0.5,0.5133063666994244,9.972589022296106,-16.939666452929337,0.0001253634297122,0.0001188638736004,0.0677074519146586,1.452234951269325,2.4515970566464835e-05,2.346848774436682e-05,6.365643035638712,63.6943085193634
30.0,10.0,0.5,0.513072268523804,9.759668789903236,-15.856560226038903,0.0001227876082659,0.000116530740822,0.0568453707007934,1.647981849057397,2.5650673084811567e-05,2.2636394182505547e-05,6.130522246525085,63.26852583885193
30.0,20.0,0.5,0.492251970273861,19.85229932769025,-36.96926605224961,0.0002487232046388,0.000256552994663,0.0519058287087055,1.96989825142327,2.905879575014428e-05,3.978740157115015e-05,7.06270940654586,116.64244604110718
30.0,20.0,0.5,0.46967000132047493,19.650257286596503,-33.217467079618615,0.00023056816363030565,0.0002603470810778179,0.045964376990141984,2.3152578848145433,3.458565791448152e-05,3.64673401759124e-05,6.946401895894927,194.98936247825623
30.0,20.0,0.5,0.49889409131780565,20.03567062663407,-35.8488714680083,0.00025533472969455046,0.0002564667410747176,0.05642007035738089,2.129021716827076,3.059616700908002e-05,3.9525136486639765e-05,6.4441430159908775,237.86476230621338
30.0,30.0,0.5,0.5045742026173662,30.201869984606702,-54.66728345631991,0.0003909521574268189,0.0003838638268205756,0.03339818699154078,3.4473382085478574,3.948940155848561e-05,4.091829253544445e-05,7.936235291812085,196.65950512886047
30.0,30.0,0.5,0.5046122044700917,30.206397273475677,-55.30742723225633,0.00040804054691720855,0.0004005814866019847,0.03281294320313244,4.020546010158008,4.6776156003469665e-05,5.604390577370119e-05,7.528411337561769,176.19114232063293
30.0,30.0,0.5,0.4818590229130128,28.351834778289646,-51.94555764766644,0.00035649465248143635,0.00038333719776865684,0.04098316681807797,2.5073276607976123,4.199634613078161e-05,3.177105434275291e-05,7.278076374223947,176.11012983322144
30.0,40.0,0.5,0.4904219490263597,36.879526733581955,-63.2716363051585,0.00046955274883298545,0.0004878936904326182,0.02262547914585441,4.569521880749629,5.3362760350436626e-05,3.673111254337747e-05,8.2920729849867,242.37929511070251
30.0,40.0,0.5,0.4760297839025005,39.631576127919665,-77.16899549004357,0.0005218368882672765,0.000574390503198124,0.03957343164989731,3.669408160445507,4.353133347926578e-05,6.056148003735758e-05,6.264709253758207,239.32239079475403
30.0,40.0,0.5,0.48802732147659783,40.16978221689086,-72.10544762105114,0.0005220377894824031,0.0005476518908061956,0.027092640813676138,3.5679413655937164,4.9608081720245036e-05,4.133442410779518e-05,7.501420588359691,244.06498217582703
30.0,50.0,0.5,0.5039135479633284,50.86642242077373,-98.97230535319952,0.000697064535310497,0.0006862372991566026,0.03217067402717583,6.822149527752705,7.933833313057528e-05,6.21774740420823e-05,9.21085112798183,309.3094096183777
30.0,50.0,0.5,0.48184252003732386,52.01711435388356,-93.5926003643734,0.0006808338600745549,0.0007321461733642066,0.03213255148373012,5.731135049294767,5.51025355165914e-05,5.608359938384048e-05,6.555182740373686,308.4467647075653
30.0,50.0,0.5,0.5018182777884131,47.7316158525357,-99.16329139520163,0.0006825010722918198,0.0006775551522436875,0.021589158261371807,5.387945939676095,4.4219969068650233e-05,4.7579043534908256e-05,7.032099365987813,310.10548996925354
30.0,60.0,0.5,0.48864983940914825,58.91361453320854,-119.76791997448755,0.0008373278706096421,0.000876226096014185,0.02017339221504689,4.852629592322782,4.5592602291236314e-05,5.436422586159616e-05,4.753353819008802,382.24872183799744
30.0,60.0,0.5,0.4912736587666274,54.56685969579532,-114.13866117375923,0.0007908307576441471,0.0008189253193040372,0.015975056170713507,4.269323744051082,5.654243154392844e-05,6.765660311790858e-05,8.267604256059535,377.9508783817291
30.0,60.0,0.5,0.4969546732228286,57.16605674628357,-124.14858477292171,0.0008500741151704266,0.0008604925843186099,0.019680594166240233,6.137531922202455,5.950201946320735e-05,6.047365398520873e-05,6.474920536997283,382.8039209842682
30.0,70.0,0.5,0.49649159769582935,67.58025863306496,-132.17228692414395,0.0009620135935561503,0.0009756095163227774,0.018801243731655592,6.504220679478347,5.0100030472172886e-05,5.7527995859065716e-05,7.255703650919097,449.81138467788696
30.0,70.0,0.5,0.47470346649894624,68.70599465801381,-140.32700072103844,0.0009486030356440135,0.0010497034916712223,0.02052739009478872,6.055000455415294,6.295505442741744e-05,6.532520705666602e-05,5.477705561251876,454.8717231750488
30.0,70.0,0.5,0.4980960490744798,66.06578570589338,-133.3751416073336,0.0009683309992328808,0.0009757338072078693,0.0173969639385505,6.8842573278975205,4.7624558844237315e-05,5.483245632677282e-05,6.778070776891924,454.01155829429626
30.0,80.0,0.5,0.46435708555174665,81.58279123983901,-164.97967740822776,0.0011085514756061323,0.0012787308769156493,0.018570103601319114,10.512228653572091,4.517046742035317e-05,6.418378348513951e-05,5.2036630974300335,538.9097027778625
30.0,80.0,0.5,0.5218257257293153,80.29074860253704,-162.9367846202273,0.0012395513898099289,0.001135861183185594,0.014918632893457722,9.21073461626802,0.0001107775251344361,5.620646095477724e-05,18.302887397594088,529.2053563594818
30.0,80.0,0.5,0.5265589645405782,76.02875404283634,-178.9772907835889,0.0013014616439999433,0.0011701735035195117,0.019800230164367192,8.773953037461277,5.513372804805637e-05,8.624853899754563e-05,6.252872412546862,535.7851669788361
30.0,90.0,0.5,0.4699289585048733,81.01095153530093,-167.87723749136526,0.0011832808345309505,0.001334718563283729,0.0192532038036875,6.3807438247119315,8.721669841034702e-05,5.538599245160636e-05,8.044794305754278,624.8554465770721
30.0,90.0,0.5,0.498075710329847,90.92832600016715,-181.45850565364537,0.0013298953269109675,0.0013401712901305544,0.014219714113989233,9.1464659104275,5.435968452453592e-05,4.792331646130457e-05,3.955823494020674,610.4365818500519
30.0,90.0,0.5,0.4713192566099355,83.00128331620998,-168.01828845917524,0.0011707408485510295,0.001313224811948042,0.009248763720265134,8.216064513972883,5.419250543184601e-05,6.103653649000012e-05,4.858647141481454,619.6540575027466
30.0,100.0,0.5,0.4778086278162737,96.27682315201993,-223.28049370667875,0.0015367051807086776,0.0016794468333976255,0.009481647562573121,7.878063426810501,5.143093510749297e-05,5.322568158154365e-05,6.130145307798355,700.6905212402344
30.0,100.0,0.5,0.4853615440850633,98.54704547820143,-230.86118338464365,0.0016165851110527707,0.0017140972035095295,0.006959856472477066,9.916940396960968,4.460259392298562e-05,5.047587540148937e-05,3.710778810666923,720.2450683116913
30.0,100.0,0.5,0.5000910930618366,92.94333270327897,-218.31162846513317,0.0016102719912686298,0.0016096853597204594,0.008953953907096395,7.674237675888044,5.080070511067228e-05,8.004845562535575e-05,5.364578479244712,696.7743883132935
30.0,110.0,0.5,0.48484519165719053,101.13985264575413,-245.19451695337415,0.0018045563239739077,0.001917366374291847,0.011094040568216662,12.506854573637618,4.845008952969459e-05,4.5022113615574824e-05,5.366482626884747,814.9957039356232
30.0,110.0,0.5,0.4900929676295712,107.20055183584059,-231.11598804824723,0.0016667396976067187,0.001734124643843079,0.007823598250169666,14.943424513961066,3.3507179102407977e-05,5.3791614506481474e-05,6.834844649383051,812.6090159416199
30.0,110.0,0.5,0.47247644707911424,107.07953739348633,-232.94037541641075,0.0016895336816067064,0.0018863772279244112,0.014245714228494391,10.026756622679391,4.1289574941142916e-05,6.834118645111574e-05,5.339692841016317,820.9677035808563
30.0,120.0,0.5,0.4828860016558973,126.87837422386814,-288.9775729555042,0.002100034330870213,0.0022488892736013226,0.00838262420559537,9.70048422167966,5.097864895254315e-05,3.0296673422508268e-05,4.174019805483434,923.928519487381
30.0,120.0,0.5,0.4819666893576963,108.19076633771198,-267.35744485643704,0.0019606469248690207,0.0021073664216174764,0.0076359019212648566,10.4061575066215,7.744959620069799e-05,5.1717184477176116e-05,5.747960076925428,879.2135977745056
30.0,120.0,0.5,0.48370090425226453,113.81441517755002,-270.2121747666448,0.0019945060120616117,0.0021289223183957096,0.00665921352930049,8.855901364349222,7.41474308713961e-05,6.133195821382624e-05,10.437405308309115,931.7940113544464
30.0,130.0,0.5,0.5131201465235831,109.69630129529844,-339.15844326838743,0.002637087745039472,0.002502230527505242,0.008271515634150132,19.463800800330443,2.592780944120231e-05,7.344379706331885e-05,3.8313211764860506,1054.8597900867462
30.0,130.0,0.5,0.4962023864595705,124.67937934140316,-338.75389201141866,0.0025077577217358076,0.002546143247239348,0.00583749850677452,18.11637059914088,3.767002790244731e-05,6.645403156378797e-05,5.937701654879573,1063.983694076538
30.0,130.0,0.5,0.4911728911014769,122.65157221688412,-312.697288302518,0.00229187999069214,0.0023742569892061145,0.0067894759852436554,10.279250258687998,4.055073255386717e-05,5.019681353335632e-05,3.9609779354195513,1031.9703419208527
30.0,140.0,0.5,0.46732670176812485,134.0709074418501,-331.46817220034717,0.002358126496709448,0.0026878648574920256,0.007726233664783522,16.707300671450696,0.0001273350640109719,8.100724787571795e-05,12.861698875205835,1125.17254281044
30.0,140.0,0.5,0.5074001426202555,156.15335798002286,-377.83253387066026,0.0029291257873962345,0.0028436865186271558,0.00340510546383789,17.64233663585229,5.279643875176923e-05,3.901208113794764e-05,5.649363067575212,1154.213033914566
30.0,140.0,0.5,0.49931192028359517,139.00993580973451,-369.04190694175804,0.002785289624887276,0.00279296619425141,0.00469668596446782,26.85739629540221,3.5529440552085906e-05,2.9426215858371195e-05,5.5790810148047605,1175.8319809436798
30.0,150.0,0.5,0.49770218221350526,141.09239827130622,-405.11425185039013,0.0030648310759265845,0.0030931308246941913,0.0034431765202972016,13.549952249218883,5.2469085493167086e-05,4.01658226378379e-05,3.721484534638976,1276.6747529506683
30.0,150.0,0.5,0.5098016399315893,143.84341917565558,-378.2565770016185,0.0028564482995485758,0.0027466099800047905,0.007403416748195603,20.896576775649777,7.26498302902201e-05,3.555695358320658e-05,6.409468328935877,1204.4602963924408
30.0,150.0,0.5,0.49515620980096486,140.10986169986754,-395.2245100198881,0.0029984190273080113,0.003057082182125006,0.008680615483013309,14.176773833446454,6.168599361853209e-05,5.140397126794257e-05,3.0401901706932515,1315.7564361095428
30.0,160.0,0.5,0.4939151482712175,162.5049894435591,-435.9739897865837,0.003337952259867018,0.003420196931447296,0.003392759969969955,12.689625016211625,4.523123435816837e-05,3.641874021700835e-05,3.711574775914283,1386.5952944755554
30.0,160.0,0.5,0.49586665266499697,178.45634328587053,-431.0446458286596,0.0033190129005145953,0.0033743448453165013,0.002472319969465946,19.767128652861544,2.6500778142234405e-05,1.8800348831124088e-05,3.7772971658148546,1398.2324857711792
30.0,160.0,0.5,0.49237267579254307,128.42568822630935,-438.8887149542508,0.003310260036373955,0.003412818231618123,0.00278429744624237,20.438646980061527,2.831933363201289e-05,2.6922641085865228e-05,4.670823485353263,1427.1569197177887
30.0,170.0,0.5,0.4807062923033338,156.21184827582996,-416.4977789818214,0.003139830981821108,0.003391872538797301,0.0029689486009692382,22.017097809244905,3.669845162763645e-05,5.761434105187864e-05,4.145117087074371,1461.714379787445
30.0,170.0,0.5,0.502487471687049,156.58792424721645,-457.64128011977124,0.0035072814472341196,0.003472557145475048,0.006602298446287646,12.057032499689043,3.7095683549368776e-05,6.275107833649824e-05,2.3923088024361188,1446.8194861412048
30.0,170.0,0.5,0.46739722694781805,129.3263401721931,-413.7412433146382,0.0030013516493122873,0.003420063533040452,0.008622218566685911,25.52318458753856,5.7046214233623465e-05,5.8306909355557584e-05,6.1071109316189,1438.3519277572632
30.0,180.0,0.5,0.48496166781400396,181.95787954412754,-450.9661983477231,0.0034269059605593804,0.0036394380167004718,0.003096306283526802,25.295121348453215,1.97969407052484e-05,4.1730598089291914e-05,3.5653468829538024,1514.1080713272095
30.0,180.0,0.5,0.5200158039344875,174.42575092348494,-497.0939687904039,0.004009308404216757,0.0037006657424956298,0.002005242504179605,17.361471294212535,2.8058341322892687e-05,2.9236285665643825e-05,4.374906050287771,1740.7327513694763
30.0,180.0,0.5,0.5052485147756324,193.77963440922488,-486.57619458602005,0.0038052147348475594,0.003726157695880625,0.0038002991976406114,20.704294923800827,3.8228956981407734e-05,2.997958734053572e-05,3.3124235148220533,2279.359829902649
30.0,190.0,0.5,0.4929281278076608,214.91195055953528,-486.86847419758624,0.0037693268132504747,0.0038774813127432123,0.004369075880784791,16.082570168931994,4.024329312476318e-05,4.2212486495541025e-05,3.272279444528722,2528.1442699432373
30.0,190.0,0.5,0.4824970980919574,180.39703537708573,-490.9930513008449,0.003739424676391018,0.004010724891717544,0.006028856495578204,15.61425982511463,6.705789748123876e-05,3.073712420192197e-05,3.4440734770692796,1672.237988948822
30.0,190.0,0.5,0.5088971661544536,199.89007502099253,-503.4019123266055,0.004030780190352924,0.0038898380768149377,0.0016614287098094102,17.097992291725294,4.5127538380241264e-05,3.755498654000008e-05,4.008212283554993,1626.257637500763
30.0,200.0,0.5,0.4990686238643774,200.80594527638866,-537.0608909656896,0.004235274054942653,0.004251082034021969,0.0027197255542802967,17.669559459409236,3.227796070208933e-05,4.428207892166396e-05,3.6808987326655034,1707.989153623581
30.0,200.0,0.5,0.504584535452596,216.9504343878383,-530.0162303975069,0.00423417472349348,0.0041572333082559735,0.004713724330839215,22.38573151377203,5.1895310313547736e-05,3.0125686968576128e-05,2.708592267462302,1689.3164694309235
30.0,200.0,0.5,0.5329105606210511,179.84640973023645,-543.869213700773,0.0045007593854985515,0.003944859294404114,0.0022021886960926535,15.051814704791,6.290489720610935e-05,2.7464950920194953e-05,3.623765234580208,1764.5756225585938
45.0,10.0,0.5,0.4732957341307393,10.3182257204517,-16.608377061698278,0.00011388045199213435,0.0001267311651847848,0.059402843964558597,1.3345779508315365,2.1633455297041982e-05,1.8710598684993513e-05,6.516918585193725,46.40825581550598
45.0,10.0,0.5,0.4655531192827116,10.009775601372615,-14.43945740122347,0.00010715267209997173,0.00012300940320749117,0.07363699318060671,1.6450679648166489,2.113834923547133e-05,2.27533228604428e-05,5.138829317159483,46.266247034072876
45.0,10.0,0.5,0.5006398307949355,9.568605871102939,-14.374809170277894,0.00011108551428729184,0.00011080157390324609,0.06558321982691699,1.3450286034815813,2.242729146520442e-05,1.9623465836569312e-05,6.567854185258273,46.886388063430786
45.0,20.0,0.5,0.5036611110039781,19.955469003505094,-32.81107581386926,0.00023787186033916475,0.00023441368075611735,0.04267198312123535,2.336959822804456,3.238642496202812e-05,2.6155293162975056e-05,6.560907911762822,90.25255060195923
45.0,20.0,0.5,0.4929409753808845,19.772853030925212,-30.6807680048431,0.00023020975586251967,0.0002368030658746908,0.04469167980622856,2.3078064194542405,2.3659478837210925e-05,3.618846824059465e-05,7.462039253440615,90.04128432273865
45.0,20.0,0.5,0.5133980543210876,19.97979091308992,-31.88222302011254,0.00024452892300360284,0.00023176607060903436,0.0425266279596571,2.27055123935464,2.4492157530095216e-05,3.363216669685108e-05,5.0392894700251105,89.85330057144165
45.0,30.0,0.5,0.48189295373515806,29.027181648114762,-50.59437618117846,0.0003437355502428836,0.0003695671606155866,0.0419597619123771,2.807511816704094,3.9924793736588e-05,4.05753855090048e-05,8.011075307173506,134.43960118293762
45.0,30.0,0.5,0.5241496858765207,28.369442389532136,-49.45818360948531,0.0003708491782363818,0.0003366761494116187,0.04838292521685886,3.616708573816157,5.906178567689908e-05,4.791905210467191e-05,10.46799594040251,135.6419017314911
