T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0,,,,,,,,,,,
30.0,10.0,0,,,,,,,,,,,
30.0,10.0,0,,,,,,,,,,,
30.0,20.0,0,,,,,,,,,,,
30.0,20.0,0,,,,,,,,,,,
30.0,20.0,0,,,,,,,,,,,
30.0,30.0,0,,,,,,,,,,,
30.0,30.0,0,,,,,,,,,,,
30.0,30.0,0,,,,,,,,,,,
30.0,40.0,0,,,,,,,,,,,
30.0,40.0,0,,,,,,,,,,,
30.0,40.0,0,,,,,,,,,,,
30.0,50.0,0,,,,,,,,,,,
30.0,50.0,0,,,,,,,,,,,
30.0,50.0,0,,,,,,,,,,,
30.0,60.0,0,,,,,,,,,,,
30.0,60.0,0,,,,,,,,,,,
30.0,60.0,0,,,,,,,,,,,
30.0,70.0,0,,,,,,,,,,,
30.0,70.0,0,,,,,,,,,,,
30.0,70.0,0,,,,,,,,,,,
30.0,80.0,0,,,,,,,,,,,
30.0,80.0,0,,,,,,,,,,,
30.0,80.0,0,,,,,,,,,,,
30.0,90.0,0,,,,,,,,,,,
30.0,90.0,0,,,,,,,,,,,
30.0,90.0,0,,,,,,,,,,,
30.0,100.0,0,,,,,,,,,,,
30.0,100.0,0,,,,,,,,,,,
30.0,100.0,0,,,,,,,,,,,
30.0,110.0,0,,,,,,,,,,,
30.0,110.0,0,,,,,,,,,,,
30.0,110.0,0,,,,,,,,,,,
30.0,120.0,0,,,,,,,,,,,
30.0,120.0,0,,,,,,,,,,,
30.0,120.0,0,,,,,,,,,,,
30.0,130.0,0,,,,,,,,,,,
30.0,130.0,0,,,,,,,,,,,
30.0,130.0,0,,,,,,,,,,,
30.0,140.0,0,,,,,,,,,,,
30.0,140.0,0,,,,,,,,,,,
30.0,140.0,0,,,,,,,,,,,
30.0,150.0,0,,,,,,,,,,,
30.0,150.0,0,,,,,,,,,,,
30.0,150.0,0,,,,,,,,,,,
30.0,160.0,0,,,,,,,,,,,
30.0,160.0,0,,,,,,,,,,,
30.0,160.0,0,,,,,,,,,,,
30.0,170.0,0,,,,,,,,,,,
30.0,170.0,0,,,,,,,,,,,
30.0,170.0,0,,,,,,,,,,,
30.0,180.0,0,,,,,,,,,,,
30.0,180.0,0,,,,,,,,,,,
30.0,180.0,0,,,,,,,,,,,
30.0,190.0,0,,,,,,,,,,,
30.0,190.0,0,,,,,,,,,,,
30.0,190.0,0,,,,,,,,,,,
30.0,200.0,0,,,,,,,,,,,
30.0,200.0,0,,,,,,,,,,,
30.0,200.0,0,,,,,,,,,,,
45.0,10.0,0,,,,,,,,,,,
45.0,10.0,0,,,,,,,,,,,
45.0,10.0,0,,,,,,,,,,,
45.0,20.0,0,,,,,,,,,,,
45.0,20.0,0,,,,,,,,,,,
45.0,20.0,0,,,,,,,,,,,
45.0,30.0,0,,,,,,,,,,,
45.0,30.0,0,,,,,,,,,,,
45.0,30.0,0,,,,,,,,,,,
45.0,40.0,0,,,,,,,,,,,
45.0,40.0,0,,,,,,,,,,,
45.0,40.0,0,,,,,,,,,,,
45.0,50.0,0,,,,,,,,,,,
45.0,50.0,0,,,,,,,,,,,
45.0,50.0,0,,,,,,,,,,,
45.0,60.0,0,,,,,,,,,,,
45.0,60.0,0,,,,,,,,,,,
45.0,60.0,0,,,,,,,,,,,
