T_res,P_res,yco_res,yco_sim,P_sim,E_sim,rhoco,rhome,yco_s,P_s,rhoco_s,rhome_s,E_s,time
30.0,10.0,0.0,0.0,10.009164656847783,-11.946176384272414,0.0,0.00024368570644718793,0.0,1.919404231297691,0.0,4.5578362547017706e-05,5.055429072064288,54.079066038131714
30.0,10.0,0.0,0.0,9.879260942895652,-11.700531447912937,0.0,0.00023941673525377228,0.0,1.9538358244105678,0.0,4.648036614804621e-05,5.196422738556207,54.304163455963135
30.0,10.0,0.0,0.0,10.156728141347468,-11.997344790340025,0.0,0.00024635786008230453,0.0,1.9974514629988291,0.0,4.661358577112481e-05,5.0356457979281695,54.14732050895691
30.0,20.0,0.0,0.0,19.8550520084903,-24.48414172273296,0.0,0.0004858465843621399,0.0,3.2131083230243185,0.0,7.067938705503783e-05,6.936032024335775,99.13709235191345
30.0,20.0,0.0,0.0,20.046537675904474,-25.34026349892129,0.0,0.0004920677091906721,0.0,3.1747708971577095,0.0,7.020563141441451e-05,7.117690794732624,99.02997708320618
30.0,20.0,0.0,0.0,19.879374764916918,-24.087229958601768,0.0,0.0004883899039780521,0.0,3.073133281163776,0.0,6.720478199319351e-05,6.651743065127393,99.84326481819153
30.0,30.0,0.0,0.0,29.641855752915617,-37.489391285043624,0.0,0.0007431709190672154,0.0,4.1380023933715355,0.0,9.263036433095446e-05,7.956189614171699,145.40208983421326
30.0,30.0,0.0,0.0,29.924391502336192,-37.10862193375387,0.0,0.0007444482853223594,0.0,4.555108347456192,0.0,9.031482909810357e-05,7.688977128010586,145.34863901138306
30.0,30.0,0.0,0.0,28.819561168217586,-36.84713628637198,0.0,0.0007212631001371743,0.0,4.146024111691751,0.0,9.113227519308908e-05,7.868545933540986,144.66923904418945
30.0,40.0,0.0,0.0,38.447445102339145,-49.583318839614364,0.0,0.0009760586008230453,0.0,5.7926744615770795,0.0,0.00011395370985614046,8.485665207280839,192.6640613079071
30.0,40.0,0.0,0.0,38.51312018659256,-48.850443985739545,0.0,0.0009735273525377228,0.0,5.538500191474086,0.0,0.00010670539132205565,8.512301968029423,190.7579436302185
30.0,40.0,0.0,0.0,37.91968435948332,-49.44203161330595,0.0,0.0009705440877914953,0.0,5.2827670102183,0.0,0.00011336863451094372,8.8896496008902,191.01709580421448
30.0,50.0,0.0,0.0,49.19094079184965,-63.84798218079048,0.0,0.0012636561865569274,0.0,6.705011605962915,0.0,0.00011382648994230551,8.443284939153237,239.6354160308838
30.0,50.0,0.0,0.0,48.35462495516056,-62.655082725183206,0.0,0.0012410111385459533,0.0,6.930993661234273,0.0,0.00012461270167230944,9.211404421734835,240.55484867095947
30.0,50.0,0.0,0.0,48.10443358737415,-62.749648001062845,0.0,0.0012426579972565157,0.0,6.450976552260823,0.0,0.00012788570869011438,9.359860644727318,240.84716510772705
30.0,60.0,0.0,0.0,58.24906969185495,-77.46451197068026,0.0,0.0015255482030178326,0.0,7.601001735375546,0.0,0.00013435619246173546,9.419864198609876,287.39970993995667
30.0,60.0,0.0,0.0,57.319922695254604,-75.57102865038131,0.0,0.0014885461728395063,0.0,7.715909786186067,0.0,0.00013799064803473598,9.9742819330894,287.4499943256378
