"Arai, Y.; Kaminishi, G.-I.; Saito, S. J. Chem. Eng. Jpn., 1971, 4(2), 113-122 The experimental determination of the p-v-t-x relations for the carbon dioxide - nitrogen and the carbon dioxide - methane systems",,,,
No.,Mole fraction CO2,Temperature (K),Pressure (N/sqm),Density (kg/cum)
1,0.786,273.15,4529200,111.1820936
2,0.699,273.15,4924400,109.8494877
3,0.699,273.15,5694500,140.6768142
4,0.699,273.15,6089600,159.6019462
5,0.679,273.15,8673400,391.4180335
6,0.679,273.15,9068600,426.6980999
7,0.679,273.15,9848800,479.2327497
8,0.679,273.15,10608700,512.9123572
9,0.679,273.15,12169100,558.7227113
10,0.679,273.15,13344500,579.9985762
11,0.679,273.15,14509700,600.8904631
12,0.66,273.15,8673400,356.7793175
13,0.66,273.15,9068600,392.9448747
14,0.66,273.15,9848800,446.8984456
15,0.66,273.15,10608700,486.6087447
16,0.66,273.15,12169100,534.0643963
17,0.66,273.15,13344500,562.8150082
18,0.66,273.15,14509700,581.7969646
19,0.651,273.15,4924400,102.2354209
20,0.651,273.15,5694500,128.7551353
21,0.651,273.15,6728000,175.6352103
22,0.651,273.15,7346100,215.401673
23,0.592,273.15,6728000,153.7682642
24,0.592,273.15,8673400,260.790976
25,0.592,273.15,10608700,382.6158685
26,0.592,273.15,12169100,446.5598904
27,0.592,273.15,12949300,465.6981714
28,0.592,273.15,14509700,500.750722
29,0.492,273.15,6728000,126.2808136
30,0.492,273.15,8673400,192.2727226
31,0.492,273.15,10608700,270.9297455
32,0.492,273.15,11388900,301.3374317
33,0.492,273.15,12949300,356.9134371
34,0.492,273.15,14509700,397.8941522
35,0.942,288.146555,4154300,101.8917596
36,0.942,288.146555,4934500,134.9903567
37,0.942,288.146555,5319600,156.9887852
38,0.902,288.146555,4934500,127.3713951
39,0.902,288.146555,5704600,169.1325082
40,0.863,288.146555,4539400,105.1771152
41,0.863,288.146555,5319600,135.7353311
42,0.863,288.146555,6099800,176.9940881
43,0.833,288.146555,8298500,479.1556395
44,0.833,288.146555,9078700,569.3006946
45,0.833,288.146555,10618900,642.7888562
46,0.833,288.146555,12574400,692.5823592
47,0.833,288.146555,14530000,720.4886081
48,0.823,288.146555,4539400,100.4087866
49,0.823,288.146555,5319600,128.0623541
50,0.823,288.146555,7042100,231.1184497
51,0.818,288.146555,8298500,425.8116849
52,0.818,288.146555,9078700,528.7933152
53,0.818,288.146555,10618900,616.7858637
54,0.818,288.146555,12574400,668.7145704
55,0.818,288.146555,14530000,702.5124188
56,0.753,288.146555,4934500,103.6351899
57,0.753,288.146555,5714700,129.2731638
58,0.753,288.146555,6738100,171.7657315
59,0.753,288.146555,7518300,216.9672398
60,0.753,288.146555,9078700,356.7442115
61,0.753,288.146555,10618900,490.7592328
62,0.753,288.146555,12574400,579.7093438
63,0.753,288.146555,14519900,629.9048896
64,0.7,288.146555,5714700,119.9299663
65,0.7,288.146555,6738100,156.2245614
66,0.7,288.146555,7518300,189.4638298
67,0.7,288.146555,9078700,284.9536
68,0.7,288.146555,10618900,397.5357143
69,0.7,288.146555,14519900,556.55
