"Brugge, H. B.; Hwang, C.-A.; Rogers, W. J.; Holste, J.C.; Hall, K. R.; Lemming, W.; Esper, G.J.; Marsh, K.N.; Gammon, B.E. Physica A (Amsterdam), 1989, 156, 382-416",,,,
No.,Mole fraction CO2,Temperature (K),Pressure (N/sqm),Density (kg/cum)
1,0.29858,299.9930002,9821110,123.0660575
2,0.67607,299.9930002,7949130,166.5233433
3,0.67607,299.9959994,5977610,109.9243075
4,0.67607,299.994,7030060,138.1387222
5,0.90112,299.9930002,5730600,139.8026069
6,0.90112,299.9930002,6382390,169.2988795
7,0.90112,299.9949997,4960830,111.7552262
8,0.29858,319.988,9471030,103.5374389
9,0.67607,319.9850009,7977180,138.6710103
10,0.67607,319.9850009,7511410,128.0406264
11,0.90112,319.9860006,6105060,126.7147366
12,0.90112,319.9840012,6826320,148.9813972
