"Esper, G. J.; Bailey, D. M.; Holste, J. C.; Hall, K. R. Fluid Phase Equilib., 1989, 49, 35-47 Volumetric behavior of near-equimolar mixtures for carbon dioxide + methane and carbon dioxide + nitrogen",,,,
No.,Mole fraction CO2,Temperature (K),Pressure (N/sqm),Density (kg/cum)
1,0.47608,219.7870222,6141040,547.7996903
2,0.47608,219.7900219,6141140,547.801133
3,0.47608,219.9360073,6202290,547.808917
4,0.47608,219.9610048,6213770,547.796116
5,0.47608,229.8810127,10900000,547.7441039
6,0.47608,233.4946513,7282570,487.2942754
7,0.47608,235.9824025,8063310,487.2754236
8,0.47608,237.90721,15037000,547.6943315
9,0.47608,239.8620145,9371080,487.263012
10,0.47608,242.9394134,17705800,547.6594982
11,0.47608,250.0040002,9389810,389.8983344
12,0.47608,250.084984,13042000,487.2144524
13,0.47608,253.5222964,8431290,308.8929658
14,0.47608,254.7230562,9254120,348.372767
15,0.47608,255.0059996,8664720,312.1083253
16,0.47608,255.8598288,6215660,141.0754893
17,0.47608,256.2167574,6224790,141.0742505
18,0.47608,256.5406926,7678380,221.6838234
19,0.47608,257.6944618,6318100,141.0754256
20,0.47608,259.9290148,16714100,487.1573146
21,0.47608,259.9450116,6459760,141.0744206
22,0.47608,260.0939818,8057630,221.6794476
23,0.47608,260.1219762,26915800,547.526186
24,0.47608,260.1809644,10293200,348.3566329
25,0.47608,260.1819642,9500860,308.8838563
26,0.47608,272.9350683,11607000,308.8583278
27,0.47608,273.1430022,21728600,487.0876964
28,0.47608,273.1769961,9467380,221.6668673
29,0.47608,273.2699825,33994900,547.4185401
30,0.47608,273.2849803,12869500,348.3266783
31,0.47608,273.3359728,7267160,141.0643238
32,0.47608,288.6624002,27701500,486.9896584
33,0.47608,288.7273807,42332900,547.2779915
34,0.47608,288.7293801,14224200,308.8163616
35,0.47608,288.8223522,11109400,221.6439453
36,0.47608,288.8313495,15982600,348.273378
37,0.47608,288.9043276,8182550,141.0519282
38,0.47608,299.7920404,48261000,547.1693873
39,0.47608,299.9370114,27286700,452.3776491
40,0.47608,299.9410106,8817500,141.0418922
41,0.47608,299.9660056,16771900,322.0992475
42,0.47608,299.969005,8319770,130.4289494
43,0.47608,299.9860016,15098200,287.8517466
44,0.47608,299.9900008,11586800,204.9569345
45,0.47608,299.994,36892600,506.1973629
46,0.47608,300.0009979,32069000,486.9070514
47,0.47608,300.0019976,10678500,180.5286507
48,0.47608,300.0059964,7638320,116.554909
49,0.47608,300.0429853,16101800,308.7830455
50,0.47608,300.0529823,12272800,221.6190303
51,0.47608,300.0529823,18247700,348.2320159
52,0.47608,300.0719766,8060940,125.0092247
53,0.47608,300.0949697,31831300,485.3254908
54,0.47608,300.0989685,11244000,196.464699
55,0.47608,319.9560096,9953420,141.017502
56,0.47608,320.0059946,19416900,308.717573
57,0.47608,320.0129925,22282000,348.1525152
58,0.47608,320.0389847,39788500,486.7553675
59,0.47608,320.0609781,14329300,221.5780333
