"Seitz, J. C.; Blencoe, J. G. J. Chem. Thermodyn., 1996, 28(11), 1207-1213",,,,
No.,Mole fraction CO2,Temperature (K),Pressure (N/sqm),Density (kg/cum)
1,0.8,673.15,19940000,133.8
2,0.7,673.15,19940000,123.18
3,0.6,673.15,19940000,112.92
4,0.5,673.15,19940000,102.78
5,0.8,673.15,29940000,196.05
6,0.7,673.15,29940000,180.01
7,0.6,673.15,29940000,164.7
8,0.5,673.15,29940000,149.57
9,0.4,673.15,29940000,134.73
10,0.3,673.15,29940000,120.08
11,0.2,673.15,29940000,105.73
12,0.8,673.15,39940000,253.26
13,0.7,673.15,39940000,232.52
14,0.6,673.15,39940000,212.35
15,0.5,673.15,39940000,192.72
16,0.4,673.15,39940000,173.47
17,0.3,673.15,39940000,154.4
18,0.2,673.15,39940000,136.53
19,0.8,673.15,59930000,352.66
20,0.7,673.15,59930000,323.29
21,0.6,673.15,59930000,294.71
22,0.5,673.15,59930000,267.3
23,0.4,673.15,59930000,240.51
24,0.3,673.15,59930000,214.48
25,0.2,673.15,59930000,189
26,0.8,673.15,79930000,431.96
27,0.7,673.15,79930000,396.08
28,0.6,673.15,79930000,361.39
29,0.5,673.15,79930000,327.67
30,0.4,673.15,79930000,294.94
31,0.3,673.15,79930000,262.75
32,0.2,673.15,79930000,231.36
33,0.1,673.15,79930000,200.55
34,0.9,673.15,99930000,538.32
35,0.8,673.15,99930000,496.48
36,0.7,673.15,99930000,455.72
37,0.6,673.15,99930000,416.08
38,0.5,673.15,99930000,377.55
39,0.3,673.15,99930000,303.09
40,0.2,673.15,99930000,266.69
41,0.1,673.15,99930000,231.29
