"May, T.O. M.Sc. Thesis, University of Idaho (2003) Fluid Properties and Adsorption Measurements",,,,
No.,Mole fraction CO2,Temperature (K),Pressure (N/sqm),Density (kg/cum)
1,0.5054,293.23,7098000,116.189
2,0.5054,293.22,7097000,116.165
3,0.5054,293.21,7096000,116.16
4,0.5054,293.21,7097000,116.169
5,0.5054,293.21,7097000,116.175
6,0.5054,293.21,7098000,116.188
7,0.5054,293.23,7098000,116.194
8,0.5054,293.22,7098000,116.199
9,0.5054,293.23,8007000,137.014
10,0.5054,293.22,8003000,136.996
11,0.5054,293.22,8003000,136.993
12,0.5054,293.22,8003000,136.994
13,0.5054,293.22,8003000,136.993
14,0.5054,293.23,8002000,136.982
15,0.5054,293.22,8002000,136.971
16,0.5054,293.22,8001000,136.966
17,0.5054,293.22,8001000,136.955
18,0.5054,293.22,8001000,136.948
19,0.5054,293.22,8000000,136.944
20,0.5054,293.22,8000000,136.936
21,0.5054,293.22,8000000,136.93
22,0.5054,293.22,7999000,136.925
23,0.5054,293.22,7999000,136.916
24,0.5054,293.22,7999000,136.91
25,0.5054,293.22,7999000,136.901
26,0.5054,293.22,7998000,136.894
27,0.5054,293.22,7998000,136.892
28,0.5054,293.21,7998000,136.89
29,0.5054,293.22,7998000,136.886
30,0.5054,293.22,7998000,136.878
31,0.5054,293.22,7998000,136.875
32,0.5054,293.22,7998000,136.871
33,0.5054,293.21,7997000,136.868
34,0.5054,293.22,7997000,136.861
35,0.5054,293.22,7998000,136.864
36,0.5054,293.22,7998000,136.867
37,0.5054,293.21,7998000,136.87
38,0.5054,293.21,7997000,136.872
39,0.5054,293.22,7998000,136.876
40,0.5054,293.21,7998000,136.876
41,0.5054,293.21,7998000,136.88
42,0.5054,293.22,7998000,136.879
43,0.5054,293.21,7998000,136.883
44,0.5054,293.21,7998000,136.882
45,0.5054,293.21,7998000,136.884
46,0.5054,293.21,7998000,136.882
47,0.5054,293.21,7998000,136.881
48,0.5054,293.21,7998000,136.881
49,0.5054,293.21,7999000,136.891
50,0.5054,293.22,7999000,136.897
51,0.5054,293.22,7999000,136.897
52,0.5054,293.21,7999000,136.899
53,0.5054,293.22,7999000,136.898
54,0.5054,293.22,7999000,136.895
55,0.5054,293.22,7999000,136.894
56,0.5054,293.22,7998000,136.892
57,0.5054,293.22,7998000,136.893
58,0.5054,293.22,7998000,136.888
59,0.5054,293.22,7998000,136.887
60,0.5054,293.22,7998000,136.888
61,0.5054,293.21,7998000,136.885
62,0.5054,293.21,7998000,136.885
63,0.5054,293.22,7999000,136.888
64,0.5054,293.22,7998000,136.885
65,0.5054,293.21,7998000,136.885
66,0.5054,293.21,7998000,136.884
67,0.5054,293.22,7998000,136.886
68,0.5054,293.22,7998000,136.887
69,0.5054,293.21,7998000,136.886
70,0.5054,293.21,7998000,136.886
71,0.5054,293.22,7998000,136.886
72,0.5054,293.22,7998000,136.885
73,0.5054,293.21,7998000,136.886
74,0.5054,293.21,7998000,136.887
75,0.5054,293.21,7998000,136.887
76,0.5054,293.21,7998000,136.888
77,0.5054,293.22,7998000,136.887
78,0.5054,293.22,7998000,136.886
79,0.5054,293.22,7998000,136.889
80,0.5054,293.22,7998000,136.885
81,0.5054,293.21,7998000,136.887
82,0.5054,293.22,7998000,136.884
83,0.5054,293.21,7998000,136.886
84,0.5054,293.21,7998000,136.888
85,0.5054,293.21,7998000,136.885
86,0.5054,293.22,7998000,136.886
87,0.5054,293.21,7998000,136.885
88,0.5054,293.21,7998000,136.886
89,0.5054,293.22,7998000,136.883
90,0.5054,293.21,7998000,136.885
91,0.5054,293.22,7998000,136.886
92,0.5054,293.22,7998000,136.886
93,0.5054,293.21,7998000,136.885
94,0.5054,293.21,7998000,136.886
95,0.5054,293.21,7998000,136.887
96,0.5054,293.21,7998000,136.887
97,0.5054,293.22,7998000,136.886
98,0.5054,293.22,7998000,136.885
99,0.5054,293.22,7998000,136.884
100,0.5054,293.22,7998000,136.884
