Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
30.000	5.0000	0.20322	4.9208	19.829	22.290	107.43	29.569	38.855	267.73	1.0495	15.197	0.017246	vapor
30.000	10.000	0.41699	2.3982	19.683	22.081	101.18	30.113	40.535	263.95	1.0515	15.261	0.017569	vapor
30.000	15.000	0.64279	1.5557	19.530	21.863	97.290	30.693	42.457	260.04	1.0532	15.340	0.017940	vapor
30.000	20.000	0.88247	1.1332	19.367	21.634	94.349	31.318	44.685	256.00	1.0546	15.435	0.018367	vapor
30.000	25.000	1.1384	0.87844	19.195	21.391	91.906	31.995	47.308	251.79	1.0555	15.551	0.018867	vapor
30.000	30.000	1.4136	0.70743	19.011	21.134	89.756	32.738	50.454	247.40	1.0557	15.692	0.019459	vapor
30.000	35.000	1.7121	0.58409	18.813	20.857	87.786	33.565	54.316	242.79	1.0548	15.864	0.020174	vapor
30.000	40.000	2.0395	0.49031	18.598	20.559	85.918	34.500	59.194	237.93	1.0524	16.077	0.021055	vapor
30.000	45.000	2.4040	0.41597	18.360	20.232	84.095	35.581	65.591	232.74	1.0479	16.343	0.022176	vapor
30.000	50.000	2.8180	0.35487	18.094	19.868	82.259	36.868	74.425	227.14	1.0402	16.685	0.023656	vapor
30.000	55.000	3.3020	0.30284	17.786	19.452	80.344	38.467	87.578	220.97	1.0276	17.139	0.025719	vapor
30.000	60.000	3.8955	0.25671	17.415	18.955	78.247	40.595	109.68	213.94	1.0065	17.776	0.028843	vapor
30.000	65.000	4.6908	0.21318	16.929	18.315	75.747	43.808	156.45	205.30	0.96862	18.777	0.034332	vapor
30.000	70.000	6.0568	0.16510	16.128	17.283	72.030	50.659	350.86	191.80	0.88141	20.908	0.048985	vapor
30.000	72.137	7.8415	0.12753	15.149	16.069	67.919	67.019	2456.7	171.26	0.73936	24.533	0.10129	vapor
30.000	72.137	13.481	0.074176	12.868	13.403	59.125	61.890	1555.2	177.23	0.42789	43.420	0.096489	liquid
30.000	75.000	15.022	0.066570	12.336	12.835	57.186	48.301	358.15	248.97	0.27841	51.041	0.078441	liquid
30.000	80.000	15.945	0.062717	11.999	12.500	55.975	45.409	229.79	292.88	0.20895	56.280	0.078153	liquid
30.000	85.000	16.500	0.060607	11.789	12.304	55.225	44.070	188.70	322.49	0.17358	59.710	0.079602	liquid
30.000	90.000	16.912	0.059128	11.629	12.161	54.655	43.243	167.08	345.79	0.15041	62.413	0.081204	liquid
30.000	95.000	17.247	0.057982	11.497	12.048	54.185	42.676	153.27	365.36	0.13344	64.703	0.082751	liquid
30.000	100.00	17.530	0.057045	11.383	11.954	53.781	42.262	143.48	382.45	0.12018	66.722	0.084211	liquid
30.000	105.00	17.778	0.056250	11.283	11.874	53.423	41.945	136.07	397.75	0.10939	68.545	0.085583	liquid
30.000	110.00	17.998	0.055561	11.193	11.804	53.101	41.696	130.20	411.68	0.10035	70.219	0.086876	liquid
30.000	115.00	18.198	0.054951	11.111	11.742	52.807	41.494	125.42	424.54	0.092612	71.776	0.088099	liquid
30.000	120.00	18.381	0.054405	11.035	11.687	52.535	41.327	121.43	436.51	0.085886	73.236	0.089261	liquid
30.000	125.00	18.549	0.053911	10.964	11.638	52.282	41.187	118.03	447.74	0.079964	74.616	0.090369	liquid
30.000	130.00	18.706	0.053459	10.898	11.593	52.045	41.069	115.09	458.33	0.074695	75.928	0.091429	liquid
30.000	135.00	18.853	0.053042	10.836	11.552	51.822	40.967	112.52	468.37	0.069966	77.182	0.092446	liquid
30.000	140.00	18.991	0.052657	10.777	11.514	51.610	40.879	110.25	477.92	0.065689	78.385	0.093425	liquid
30.000	145.00	19.121	0.052297	10.721	11.479	51.409	40.803	108.23	487.05	0.061797	79.543	0.094370	liquid
30.000	150.00	19.245	0.051961	10.668	11.447	51.216	40.737	106.41	495.79	0.058235	80.662	0.095284	liquid
30.000	155.00	19.363	0.051644	10.617	11.417	51.032	40.679	104.77	504.18	0.054959	81.745	0.096169	liquid
30.000	160.00	19.476	0.051346	10.568	11.389	50.856	40.627	103.27	512.26	0.051933	82.796	0.097029	liquid
30.000	165.00	19.583	0.051064	10.521	11.363	50.686	40.582	101.91	520.05	0.049126	83.818	0.097864	liquid
30.000	170.00	19.687	0.050795	10.476	11.339	50.522	40.542	100.65	527.59	0.046513	84.814	0.098678	liquid
30.000	175.00	19.786	0.050540	10.432	11.317	50.364	40.507	99.489	534.88	0.044073	85.785	0.099472	liquid
30.000	180.00	19.882	0.050297	10.390	11.295	50.211	40.476	98.414	541.95	0.041788	86.735	0.10025	liquid
30.000	185.00	19.974	0.050064	10.349	11.275	50.062	40.448	97.415	548.81	0.039642	87.664	0.10100	liquid
30.000	190.00	20.064	0.049841	10.310	11.257	49.918	40.424	96.483	555.49	0.037621	88.574	0.10175	liquid
30.000	195.00	20.150	0.049627	10.271	11.239	49.778	40.402	95.611	561.99	0.035713	89.467	0.10247	liquid
30.000	200.00	20.234	0.049422	10.234	11.222	49.642	40.383	94.793	568.33	0.033909	90.343	0.10318	liquid
