Temperature (C)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
60.000	5.0000	0.18152	5.5089	13.070	15.824	97.737	28.906	37.517	470.74	0.34278	12.234	0.039237	vapor
60.000	10.000	0.36507	2.7392	13.021	15.760	91.827	28.964	37.878	469.95	0.33992	12.300	0.039534	vapor
60.000	15.000	0.55063	1.8161	12.971	15.695	88.309	29.021	38.248	469.24	0.33694	12.371	0.039841	vapor
60.000	20.000	0.73817	1.3547	12.922	15.631	85.769	29.077	38.626	468.62	0.33382	12.446	0.040158	vapor
60.000	25.000	0.92767	1.0780	12.872	15.566	83.765	29.134	39.011	468.08	0.33058	12.526	0.040487	vapor
60.000	30.000	1.1191	0.89357	12.821	15.502	82.101	29.190	39.405	467.65	0.32720	12.610	0.040828	vapor
60.000	35.000	1.3124	0.76195	12.771	15.438	80.670	29.246	39.806	467.31	0.32367	12.699	0.041182	vapor
60.000	40.000	1.5076	0.66331	12.720	15.373	79.411	29.302	40.214	467.08	0.32000	12.792	0.041549	vapor
60.000	45.000	1.7045	0.58667	12.669	15.309	78.282	29.357	40.630	466.95	0.31618	12.890	0.041928	vapor
60.000	50.000	1.9032	0.52543	12.618	15.245	77.256	29.411	41.051	466.94	0.31221	12.992	0.042322	vapor
60.000	50.000	1.9032	0.52543	12.618	15.245	77.256	29.411	41.051	466.94	0.31221	12.992	0.042322	supercritical
60.000	50.000	1.9032	0.52543	12.618	15.245	77.256	29.411	41.051	466.94	0.31221	12.992	0.042322	supercritical
60.000	55.000	2.1035	0.47539	12.566	15.181	76.315	29.465	41.478	467.05	0.30809	13.099	0.042729	supercritical
60.000	60.000	2.3054	0.43376	12.514	15.117	75.442	29.518	41.910	467.27	0.30382	13.211	0.043151	supercritical
60.000	65.000	2.5088	0.39859	12.463	15.053	74.627	29.571	42.346	467.62	0.29941	13.328	0.043587	supercritical
60.000	70.000	2.7136	0.36851	12.411	14.990	73.862	29.623	42.786	468.10	0.29484	13.449	0.044038	supercritical
60.000	75.000	2.9197	0.34250	12.359	14.927	73.140	29.674	43.228	468.72	0.29013	13.576	0.044503	supercritical
60.000	80.000	3.1269	0.31981	12.306	14.865	72.456	29.724	43.672	469.47	0.28529	13.707	0.044984	supercritical
60.000	85.000	3.3352	0.29983	12.254	14.803	71.805	29.773	44.117	470.36	0.28031	13.843	0.045478	supercritical
60.000	90.000	3.5443	0.28214	12.202	14.741	71.184	29.822	44.561	471.39	0.27521	13.984	0.045988	supercritical
60.000	95.000	3.7543	0.26636	12.150	14.680	70.589	29.869	45.004	472.57	0.26999	14.129	0.046511	supercritical
60.000	100.00	3.9648	0.25222	12.097	14.620	70.019	29.915	45.443	473.90	0.26467	14.279	0.047049	supercritical
60.000	105.00	4.1758	0.23947	12.045	14.560	69.471	29.960	45.879	475.38	0.25924	14.434	0.047601	supercritical
60.000	110.00	4.3872	0.22794	11.993	14.501	68.942	30.005	46.310	477.02	0.25373	14.593	0.048165	supercritical
60.000	115.00	4.5986	0.21746	11.942	14.442	68.433	30.047	46.735	478.80	0.24815	14.757	0.048743	supercritical
60.000	120.00	4.8100	0.20790	11.890	14.385	67.941	30.089	47.152	480.75	0.24250	14.925	0.049332	supercritical
60.000	125.00	5.0212	0.19916	11.839	14.328	67.466	30.130	47.560	482.84	0.23679	15.097	0.049933	supercritical
60.000	130.00	5.2320	0.19113	11.787	14.272	67.005	30.169	47.959	485.09	0.23105	15.273	0.050544	supercritical
60.000	135.00	5.4422	0.18375	11.737	14.217	66.559	30.208	48.347	487.50	0.22528	15.453	0.051166	supercritical
60.000	140.00	5.6517	0.17694	11.686	14.163	66.126	30.245	48.724	490.05	0.21950	15.637	0.051796	supercritical
60.000	145.00	5.8603	0.17064	11.636	14.110	65.707	30.280	49.088	492.76	0.21371	15.824	0.052434	supercritical
60.000	150.00	6.0678	0.16480	11.586	14.058	65.299	30.315	49.439	495.62	0.20793	16.014	0.053079	supercritical
60.000	155.00	6.2741	0.15939	11.537	14.008	64.903	30.349	49.776	498.62	0.20217	16.208	0.053730	supercritical
60.000	160.00	6.4790	0.15435	11.488	13.958	64.518	30.381	50.098	501.76	0.19644	16.405	0.054387	supercritical
60.000	165.00	6.6823	0.14965	11.440	13.909	64.144	30.412	50.405	505.04	0.19075	16.605	0.055047	supercritical
60.000	170.00	6.8840	0.14527	11.392	13.862	63.780	30.443	50.698	508.46	0.18511	16.807	0.055711	supercritical
60.000	175.00	7.0838	0.14117	11.345	13.815	63.426	30.472	50.974	512.01	0.17953	17.012	0.056376	supercritical
60.000	180.00	7.2817	0.13733	11.298	13.770	63.082	30.500	51.235	515.68	0.17402	17.219	0.057044	supercritical
60.000	185.00	7.4775	0.13373	11.252	13.726	62.747	30.528	51.479	519.48	0.16857	17.428	0.057711	supercritical
60.000	190.00	7.6712	0.13036	11.207	13.683	62.420	30.554	51.708	523.39	0.16322	17.639	0.058378	supercritical
60.000	195.00	7.8626	0.12719	11.162	13.642	62.102	30.579	51.922	527.41	0.15794	17.851	0.059045	supercritical
60.000	200.00	8.0516	0.12420	11.117	13.601	61.792	30.604	52.119	531.55	0.15276	18.065	0.059709	supercritical
