,yco,t_c,p_bar,z_mix,rho
0,0,30,5.0,0.9895278571760975,0.20047038375457923
1,0,30,10.0,0.9792379561066687,0.40515388119275497
2,0,30,15.0,0.9691417954219665,0.6140619366567538
3,0,30,20.0,0.9592513263080422,0.8271910554554137
4,0,30,25.0,0.9495789120981095,1.0445210331473918
5,0,30,30.0,0.9401372750948356,1.2660131739416132
6,0,30,35.0,0.9309394294806294,1.4916085417310865
7,0,30,40.0,0.9219985994325504,1.7212262958839841
8,0,30,45.0,0.913328121932438,1.9547621719979364
9,0,30,50.0,0.9049413342586954,2.192087174650268
10,0,30,55.0,0.896851446762271,2.4330465538979404
11,0,30,60.0,0.8890714022527688,2.6774591389798035
12,0,30,65.0,0.8816137241238858,2.9251171004556897
13,0,30,70.0,0.874490356187764,3.1757862051240777
14,0,30,75.0,0.8677124980080368,3.429206616004649
15,0,30,80.0,0.8612904402520125,3.685094272373823
16,0,30,85.0,0.8552334051484435,3.9431428627388856
17,0,30,90.0,0.8495493974656633,4.203026377751289
18,0,30,95.0,0.8442450714545376,4.464402201982885
19,0,30,100.0,0.8393256188924338,4.7269146752772135
20,0,30,105.0,0.8347946827096485,4.990199028365907
21,0,30,110.0,0.8306542997046149,5.253885575935225
22,0,30,115.0,0.8269048746205614,5.517604035366442
23,0,30,120.0,0.8235451864552986,5.780987832405899
24,0,30,125.0,0.8205724264186125,6.043678256705775
25,0,30,130.0,0.8179822655549456,6.30532834029512
26,0,30,135.0,0.8157689488211035,6.565606349526439
27,0,30,140.0,0.8139254114362867,6.824198804149361
28,0,30,145.0,0.8124434126612915,7.08081296371167
29,0,30,150.0,0.8113136818369232,7.335178749166416
30,0,30,155.0,0.8105260715070983,7.587050094203224
31,0,30,160.0,0.8100697127304469,7.83620574462622
32,0,30,165.0,0.8099331681868616,8.082449543787147
33,0,30,170.0,0.81010457934386,8.325610256933349
34,0,30,175.0,0.8105718046924089,8.565540997163774
35,0,30,180.0,0.8113225468296883,8.80211832076805
36,0,30,185.0,0.8123444669050081,9.03524106064233
37,0,30,190.0,0.8136252856160905,9.264828964013452
38,0,30,195.0,0.8151528705209947,9.49082119572117
39,0,30,200.0,0.8169153099040669,9.713174761640058
40,0,45,5.0,0.9911203907666611,0.1907117628289531
41,0,45,10.0,0.9824241924073898,0.3847998010628164
