exp,yco,p_bar,t_c,s_box,n_moves,n_equil,n_prod

100,0,170,45,34,1000,0,1000000
101,0,170,45,34,1000,0,1000000
102,0,170,45,34,1000,0,1000000
103,0,175,45,34,1000,0,1000000
104,0,175,45,34,1000,0,1000000
105,0,175,45,34,1000,0,1000000
106,0,180,45,34,1000,0,1000000
107,0,180,45,34,1000,0,1000000
108,0,180,45,34,1000,0,1000000
109,0,185,45,34,1000,0,1000000
110,0,185,45,34,1000,0,1000000
111,0,185,45,34,1000,0,1000000
112,0,190,45,34,1000,0,1000000
113,0,190,45,34,1000,0,1000000
114,0,190,45,34,1000,0,1000000
115,0,195,45,34,1000,0,1000000
116,0,195,45,34,1000,0,1000000
117,0,195,45,34,1000,0,1000000
118,0,200,45,34,1000,0,1000000
119,0,200,45,34,1000,0,1000000
120,0,200,45,34,1000,0,1000000
